days,travellers,daily_cost,distance_km,target
5,6,2500,584.9776214542627,108061.0
9,2,2500,153.0104776220561,47365.0
1,3,2500,434.84173107077527,10774.0
5,4,3000,477.4770028831875,69492.0
7,3,1800,264.7293027668286,40715.0
14,2,2000,126.7162320174348,63243.0
4,6,1500,113.37623053181206,41645.0
4,6,5000,513.8976005409551,92483.0
6,3,5000,306.4538920491089,100012.0
14,5,3000,54.08218922296002,187134.0
12,3,2000,430.2116836577332,65060.0
1,5,1800,150.10263168301776,11734.0
4,4,1800,525.8368504505275,39095.0
12,3,3000,185.74307161798515,90529.0
1,1,1800,120.16249805408587,2482.0
12,4,3000,50.9150661329606,158706.0
4,2,3000,306.9186819825885,26605.0
13,2,2000,270.4425526909724,48808.0
5,2,2500,450.78728676188575,25434.0
7,6,1800,278.7615523158218,93071.0
10,1,2000,206.28958135462264,17371.0
2,5,2500,156.99294937976646,31974.0
8,6,1800,166.88804728198267,88631.0
8,1,2500,556.7087410966884,21973.0
11,4,2500,99.0471612526874,90905.0
14,4,1800,592.9058547342901,108362.0
10,3,1800,196.15167311533486,60660.0
6,5,2500,53.03414125049848,64791.0
6,3,2000,149.214228472719,40121.0
6,3,2500,35.04862773277122,45908.0
12,3,2500,474.01786149834953,88575.0
5,5,2000,307.5317475246633,62215.0
3,4,1800,202.19197132008054,19068.0
5,3,3000,397.22976277893747,51881.0
1,6,2000,378.38791557019215,25603.0
2,5,5000,563.9232535365542,72837.0
2,6,1800,576.7563100490278,37139.0
11,5,5000,408.41026539924314,273100.0
11,3,2000,490.6895563465011,66607.0
10,5,2000,475.45506020110713,105600.0
7,2,2000,294.78211961993986,32405.0
11,2,1800,422.67497282005013,39013.0
3,3,2500,46.95540461014212,25258.0
13,6,2500,454.81264989018416,265986.0
8,4,2500,577.0998043154206,88573.0
14,3,5000,50.98485187544306,179233.0
3,3,2500,501.66947075511274,24270.0
7,2,2000,559.7880159895627,35650.0
10,4,1800,135.71333388123725,73642.0
7,3,2000,314.88671256552226,50858.0
7,4,3000,556.7149352777931,87144.0
3,3,2500,576.1356027137807,32497.0
6,2,2500,76.72943061138982,30038.0
4,6,2500,209.40253533327038,59554.0
5,3,5000,418.886784690514,76267.0
10,1,2500,132.9350996315582,22115.0
9,3,1800,194.8623771806885,64673.0
9,4,2500,13.974636002815966,89186.0
6,1,1800,92.11300855871933,12067.0
14,2,2500,337.3976966506463,68163.0
2,1,2000,391.85403978250963,4907.0
5,4,2000,389.34709865750216,44950.0
2,5,2000,467.01628246693,33485.0
5,6,2000,249.16884824327488,61983.0
14,3,1500,164.09442974469331,58525.0
6,6,2000,9.348420025514992,73584.0
13,2,3000,123.97789563143213,83867.0
7,5,2500,187.43268732122235,111133.0
10,4,2000,106.92411388827932,85254.0
7,5,2000,12.086682897961353,75885.0
4,5,2500,94.46856519911495,56567.0
11,4,1500,399.6597321405434,63040.0
14,2,2000,377.7512498835575,52579.0
4,4,2000,561.4101836388255,35984.0
11,5,3000,478.90097483838554,148787.0
4,6,5000,340.6536701047147,141014.0
11,6,3000,82.53380849592679,207064.0
12,2,2500,338.4430913550941,63309.0
7,4,2500,36.95703654850846,51717.0
11,1,2500,258.5309384465117,36516.0
4,5,2500,234.15517736831725,49119.0
2,6,3000,256.688285617765,53931.0
2,1,1800,167.89555103687232,3590.0
7,4,2000,411.49826857429423,56771.0
13,6,2500,504.56668037926767,159000.0
2,6,5000,461.1101955593865,74223.0
7,3,1500,376.65125747452817,31561.0
10,1,2000,323.006879599808,18720.0
3,6,1500,18.65050800481822,23280.0
11,6,5000,433.76039921515275,373693.0
5,4,2500,326.98976374709844,60154.0
12,6,3000,162.44463039833212,273311.0
9,1,2500,196.705223312065,21447.0
8,4,2000,561.3640718818448,74924.0
3,1,2000,374.6173470703362,6424.0
7,6,3000,285.547460794517,127618.0
12,5,5000,372.5530438250446,288892.0
1,6,1800,248.2453949913942,17718.0
11,4,2500,282.10936392180975,129378.0
7,1,3000,174.18555402460223,24437.0
11,1,2000,263.9119803549867,20838.0
10,3,5000,411.35533946274626,174658.0
7,5,1800,23.965155051881524,63144.0
5,1,2500,477.0164443776929,13858.0
9,6,2000,169.7877245167877,102940.0
2,2,1800,409.53587605949986,9795.0
9,3,2500,385.635188808036,88900.0
2,2,1800,391.5768294847832,10721.0
10,3,1800,364.8773497534817,59615.0
9,3,2000,575.461102841721,59019.0
2,1,1800,305.0064976172345,6464.0
11,4,2000,439.3914693092109,111141.0
6,5,2500,423.2695987407466,76547.0
12,6,3000,141.76054636699823,212315.0
1,2,5000,169.98350351209538,11072.0
3,6,1500,254.4102588941807,33690.0
7,6,2500,166.61875827792554,100202.0
3,6,2500,220.04585935797581,53000.0
5,3,5000,234.57636835698358,92627.0
10,6,3000,362.3187365630064,161176.0
3,4,5000,131.93402564103698,54247.0
10,1,2500,482.5751195260124,25413.0
2,2,2000,262.52181406290276,9584.0
3,5,3000,423.7464670099481,67967.0
9,1,2500,48.865488744490726,25594.0
12,3,1800,281.9792364746201,76365.0
3,5,2500,16.931719306396985,36657.0
5,1,2500,405.5459950893389,13645.0
13,3,2500,206.22604619824173,83991.0
14,2,1800,569.5516884634972,60361.0
9,4,2000,194.47452876085163,79671.0
7,2,1800,338.2835388106361,32563.0
5,6,3000,154.43254541676882,91365.0
9,1,3000,372.0675773684042,28008.0
9,6,2500,280.22541007994073,144647.0
5,5,5000,222.37695690337972,144071.0
1,6,2500,122.21360944810793,15033.0
3,6,2000,66.91280638287319,41079.0
14,2,2000,71.92748037400396,56436.0
6,6,2500,599.4240105033319,91933.0
7,4,1800,247.38643611434082,42328.0
7,6,3000,1.1578247240036754,123981.0
11,6,3000,571.7572743756086,251892.0
1,4,2000,11.98795453788759,10015.0
2,3,1800,251.1516753327202,14416.0
4,1,3000,430.48655158239353,17365.0
7,1,1800,548.759546623057,14719.0
10,3,3000,427.7317748592606,106663.0
7,5,1500,278.17545294000706,55003.0
7,4,1800,584.6652233904621,56176.0
14,3,1800,23.591629819962257,69958.0
3,2,2000,592.1353215228048,13071.0
9,4,2000,509.63493102506334,93541.0
8,4,2500,557.3580102758154,82328.0
7,6,1800,152.86345445852197,72000.0
12,5,5000,85.47484337056186,261875.0
4,4,1800,397.98916762362006,34316.0
14,6,3000,309.515662791672,320570.0
5,3,2500,313.9007764466277,53054.0
8,6,1500,554.7715070899305,69898.0
8,3,2000,372.04854399195733,50280.0
12,1,2500,186.63830106275395,27158.0
7,3,3000,240.03993385072562,74176.0
4,1,2500,80.09750105511075,10681.0
1,1,3000,115.3884241654136,3207.0
6,6,1800,86.01004212572309,67449.0
12,5,1800,486.1748047268127,111169.0
1,2,2000,422.9240807832713,8962.0
13,6,1500,318.2070105665111,133092.0
8,1,2500,224.62070017654244,22648.0
2,2,2500,401.0965741946103,9591.0
5,5,2000,487.74320861745656,59278.0
8,2,2500,528.7399294030254,56792.0
5,5,3000,328.2097369238001,95634.0
2,6,3000,491.9310730918205,38302.0
10,1,1800,306.78357204761704,18517.0
10,1,2000,284.7180535127345,18301.0
2,6,2500,519.2591133732601,52141.0
4,4,3000,231.8243617587984,53247.0
4,4,2000,237.54760742442136,32650.0
10,3,3000,182.94680717094968,92574.0
11,3,3000,311.22103697677,75133.0
11,5,1500,326.91002021367643,78169.0
14,4,5000,396.27668718627416,287595.0
11,1,3000,258.3013860657423,37668.0
5,4,2000,130.70237513015962,33344.0
2,5,2500,520.1052374483255,33819.0
9,1,2500,207.60052034280864,26336.0
13,3,2000,553.7660519041049,71115.0
14,5,2500,124.41199981587346,182437.0
4,4,2000,336.0344857417383,37674.0
4,1,2000,321.96905611767136,11409.0
1,1,1800,497.1887087561972,3686.0
2,4,2000,83.31083205049785,16980.0
8,3,2500,545.9623037504768,73742.0
8,6,3000,318.8569033032421,129338.0
6,4,1800,351.66563034861986,47549.0
5,6,1500,306.09977597866026,49561.0
12,2,3000,21.614944101759882,70980.0
7,3,2000,298.25439708395885,50464.0
12,1,2500,158.12979760619433,32739.0
14,4,1500,205.61290822669886,79789.0
5,2,2500,389.460959512284,28581.0
3,3,3000,298.6182776844636,36573.0
14,3,2500,55.93092760047627,95638.0
9,2,1800,43.82476485705536,33326.0
5,1,3000,111.3946173704222,15092.0
9,4,2500,114.5310879433342,91141.0
8,6,1800,364.9804541828189,78247.0
13,2,2500,106.68867842732568,78001.0
4,3,2000,529.0316539648624,27655.0
14,2,1500,125.85639636804788,48642.0
14,5,2000,54.67886725582958,130956.0
3,3,1800,525.4476098157882,20878.0
3,6,1800,177.1965456460398,42396.0
8,2,2500,255.25357790024148,47367.0
1,1,2500,575.4158304074654,4923.0
5,4,3000,566.6215314946643,75671.0
7,4,2000,428.9501335589507,60724.0
14,6,2000,41.36337103953282,168823.0
14,6,5000,356.00407524683845,395835.0
3,6,2500,593.4467610253547,66031.0
13,4,2500,568.1497370543883,127985.0
2,3,2500,63.60149551196572,18838.0
11,3,2500,237.5803818542212,82177.0
12,1,1800,189.3220475417036,22412.0
13,3,3000,77.83686414294333,129176.0
4,3,3000,416.87898674925657,41120.0
13,1,5000,164.30901861614205,63352.0
2,2,1800,206.9194818751787,8824.0
8,4,3000,54.215326020850775,107835.0
7,3,2000,298.78053526719935,42100.0
5,6,2000,94.90071819123389,61341.0
1,3,1800,259.2542541476935,8522.0
11,6,3000,86.0053332619809,221936.0
5,4,2500,572.3099339700874,58452.0
10,1,1500,86.98951991828557,19067.0
6,2,5000,313.1322923103799,61342.0
6,5,1800,118.1878951913925,54779.0
13,4,2000,45.81708208356554,102605.0
2,2,2500,121.3851713052589,9368.0
11,4,2000,32.864464434261656,78170.0
11,6,1500,83.63842987259329,94776.0
6,3,2500,296.0904946579302,55643.0
4,1,1800,391.0893126345445,8730.0
1,2,5000,52.40388904307007,9831.0
14,6,2000,264.61117434256107,201997.0
14,5,2500,348.7482137120112,219206.0
4,6,5000,140.5354057266369,143431.0
1,6,2000,223.24704690961522,15669.0
2,1,2500,43.100921840165185,4874.0
1,2,5000,132.07864813985694,13745.0
12,1,2500,280.051755551364,32034.0
13,1,2000,594.2653073551934,27480.0
3,6,3000,597.75903776348,74499.0
11,6,2000,587.7730086745728,164879.0
3,1,5000,253.85183178019653,14954.0
6,5,1500,48.40822704879901,47195.0
9,4,2500,194.14406234960012,104056.0
11,1,1800,142.62862522258638,17723.0
13,6,1800,8.475944945912751,140812.0
1,6,2500,57.14016617302524,14322.0
3,4,2500,271.9151610294397,30526.0
4,5,1800,203.7974782825782,37457.0
5,3,2500,108.21223298068983,41085.0
14,5,1500,429.6599823952483,109287.0
11,3,1800,214.26935753797113,57332.0
5,6,5000,511.1207134479266,163274.0
14,1,2000,144.5862961578704,24904.0
7,2,1800,323.0360940519748,29251.0
8,6,1500,110.48353028950947,85507.0
7,2,2000,297.1803698315052,30090.0
3,2,2000,91.47990538703172,12426.0
14,5,1500,96.94717462291315,111840.0
1,2,3000,367.3340262252094,7007.0
3,4,2500,158.27162530546005,34697.0
4,2,2500,103.42033593854838,30220.0
4,2,1500,557.8609500810439,16222.0
2,6,2500,25.80195044403064,30185.0
1,2,2000,339.0888676175323,7339.0
10,1,2000,328.95830509995915,25969.0
14,5,2000,150.36532464183588,160757.0
2,6,2500,271.6630470676907,28196.0
5,1,3000,52.64266984958128,16274.0
8,5,1800,432.76208755433134,109817.0
13,4,3000,133.01828902609392,170392.0
10,5,5000,116.03121589593354,219675.0
11,1,2500,188.92708696650183,29228.0
9,6,2000,541.4219521578852,103758.0
6,4,1800,477.87998897012557,58953.0
3,6,1500,568.1353746802546,36232.0
13,3,3000,391.1774076198513,122783.0
12,6,2000,397.7529066192526,138527.0
1,4,2500,288.01859965573016,13681.0
11,1,3000,543.1117940201852,42039.0
2,6,2500,306.5262895621974,37823.0
11,5,1500,213.0360424770148,81130.0
12,2,3000,384.2250059505991,65434.0
2,4,2000,327.68369604057807,16970.0
7,3,1800,74.41188918593728,33298.0
2,4,5000,235.63524834745772,44362.0
8,6,1800,187.99524665668798,102260.0
13,6,2000,508.1002650066791,157257.0
2,2,5000,227.30553418386526,26343.0
6,6,5000,492.93313958333556,176005.0
14,3,1800,265.43375634056736,76567.0
5,5,5000,452.100338067366,117755.0
2,5,5000,81.16915710671395,58141.0
7,3,2500,554.7901317950774,76089.0
8,3,1800,288.33593447935095,37768.0
10,3,2000,155.87894737578384,59353.0
5,6,2500,144.8937638188841,91340.0
14,3,2500,159.04637314498316,89868.0
8,2,5000,220.0345037507806,87514.0
5,3,1800,430.51171960537005,37244.0
14,2,2500,569.7618257404762,75261.0
13,3,1500,401.4224580741793,67639.0
7,1,2000,328.29976256646046,18916.0
1,1,1800,269.1586848102808,3634.0
9,5,1800,496.9166802225699,90265.0
8,1,1800,509.79432146764196,15422.0
3,4,3000,175.82260465969114,34756.0
9,5,3000,572.0521491920581,164656.0
12,5,2000,237.06921792382926,105808.0
2,3,2000,480.04684151491665,17230.0
11,2,2500,580.09192684934,60380.0
2,6,3000,422.19486051336673,43430.0
11,6,2500,96.93043587071624,173040.0
6,4,1500,351.6821731043585,56627.0
1,1,2000,71.26627385734704,2252.0
14,1,5000,473.4852239213558,68234.0
3,2,1800,168.78910432432977,13725.0
9,1,2500,417.1288938360112,24873.0
3,6,2000,546.0538044781193,58363.0
14,2,1800,108.60591040210343,52292.0
11,2,2000,235.71470316070005,44538.0
12,6,1500,388.27127284413973,94712.0
7,5,2000,251.79515568570068,61781.0
7,2,1500,104.89136497482914,17521.0
9,3,2500,17.4429685012782,70863.0
11,4,2000,243.95888622117775,78044.0
12,4,2000,389.5254159491522,118857.0
1,6,2000,344.39052489149316,20339.0
10,6,1800,93.74474385638545,107066.0
2,6,2000,270.416066320432,27554.0
5,1,2000,221.68262770875168,11731.0
12,2,2000,164.52144137603992,44778.0
4,4,2000,437.56274631623353,34652.0
12,1,2000,185.7912180163106,28536.0
7,3,2500,324.0851713998175,58840.0
4,1,1800,553.9341211617699,9154.0
5,6,3000,323.56558935214946,105588.0
8,1,5000,370.2137460963365,41525.0
11,1,3000,43.94759170053084,34736.0
9,2,3000,106.88048624504178,49733.0
14,1,2000,60.57071957886808,36208.0
13,4,5000,458.88776901350406,249379.0
11,3,1800,501.5526485501054,78849.0
9,6,2000,111.87317591674659,108205.0
5,2,2500,131.56305055385462,28702.0
6,4,2000,193.92437369566971,55810.0
2,4,3000,354.64657017230127,34053.0
6,4,2500,373.0777162800117,59639.0
13,5,2000,412.0523751248746,157287.0
6,2,5000,543.1156537280775,80305.0
2,4,3000,177.02408429792288,26012.0
10,5,2500,395.2553935240654,133460.0
14,6,2000,335.8337074666153,165341.0
13,4,1500,183.50234424754026,77640.0
4,4,2000,544.449111956204,49993.0
7,6,2000,57.2900471755305,75682.0
8,4,1800,427.2006160992309,57547.0
4,6,2000,436.7242278135612,70953.0
4,1,3000,549.1959166139769,15302.0
4,3,1500,311.14835541081214,28031.0
14,1,5000,192.97340293154755,67048.0
11,1,2500,496.64440191601227,29937.0
12,3,2000,462.4861690994356,71639.0
12,2,1800,300.18936865168223,46392.0
14,3,1800,460.7144253802866,65572.0
2,3,1800,160.72536124635647,13819.0
13,4,1800,353.7037982420807,103188.0
1,6,2500,519.1100728727253,27270.0
7,6,2000,190.7907027699075,84525.0
9,3,2000,290.12998945844595,51630.0
6,2,3000,570.6269125037337,44267.0
3,5,5000,478.927105183042,73490.0
3,1,2000,532.2234121983316,8644.0
12,4,1800,231.14823653426782,115565.0
5,3,5000,597.9031557807353,98210.0
5,2,1800,91.53936281028778,15637.0
13,4,1800,311.2623499297854,92431.0
3,2,2000,287.56402937774965,15042.0
13,2,2000,479.0593144800807,55364.0
13,4,1500,545.1706635090072,73317.0
9,2,1800,438.68362614483584,37609.0
3,5,2000,376.08974167818167,37477.0
3,1,1800,256.4575145091022,8085.0
4,3,5000,306.1955502454405,61769.0
9,5,2500,305.5801879348931,136458.0
3,2,3000,12.221084210626598,15545.0
7,5,2000,301.8274828966066,67212.0
2,5,1800,513.5824801044749,30829.0
8,6,1800,425.5644066853489,110031.0
1,2,1500,477.42517327500286,6079.0
10,5,3000,234.29099386111258,155133.0
1,6,2500,317.38394214777486,19162.0
3,5,1800,20.090141398260286,26812.0
3,2,1500,229.79876530160615,11983.0
12,5,3000,284.6496269355864,176249.0
1,1,1800,153.125339759449,2341.0
7,4,1500,18.74458739438989,36937.0
9,3,1500,414.24486526737127,42067.0
8,4,3000,261.0526505093059,123706.0
10,4,1800,249.40691586734053,76658.0
12,1,2000,149.99205241710533,21812.0
6,4,1800,322.69823939881024,46570.0
12,6,2500,262.8160687624389,153808.0
5,3,1500,284.3906838174546,22943.0
14,2,2000,348.5228090618292,69213.0
8,6,2000,3.7947883438412155,94462.0
11,1,2000,544.6175421230536,30336.0
13,3,2000,42.65243816704876,77619.0
12,4,3000,270.5548483895967,147690.0
12,3,1800,124.42372514362884,71593.0
8,6,2500,314.2694216219252,92549.0
1,3,2000,168.1380652782827,8217.0
7,6,1800,516.0038988375624,87468.0
3,1,5000,237.81590037745215,19065.0
13,5,3000,383.2533334610624,227538.0
4,4,2500,149.32783688872738,36998.0
4,2,2500,11.643690296410503,23323.0
4,2,1800,242.49272136796566,15834.0
9,5,2500,321.8918937349741,106705.0
8,4,3000,275.72829075705016,102815.0
14,4,2000,577.2086182913159,118321.0
6,1,2000,424.103504307617,16473.0
4,4,1800,597.4018803752372,39959.0
1,6,2000,177.03605418838316,16655.0
1,1,2000,473.43196776428795,4338.0
6,3,2000,333.33508052796833,45605.0
13,3,2000,367.05621266909964,90529.0
8,6,3000,591.5119202653966,187574.0
13,2,1500,392.39231985067016,45332.0
2,3,1800,539.2901354021507,17622.0
2,5,2500,435.45014083154825,39113.0
12,1,2500,76.43167303485004,29977.0
2,5,1800,419.6542261933875,26499.0
1,5,1800,290.58935321128916,18211.0
6,5,3000,551.2787957894054,122732.0
13,4,5000,484.1006683142731,267483.0
10,5,2000,62.48081256433513,95886.0
2,5,2500,80.34938619213507,31714.0
12,6,1500,41.766601079163344,119991.0
12,3,5000,295.94692484677046,190636.0
12,3,2000,48.463055524411814,69832.0
13,4,2500,434.20700194481645,142508.0
4,2,2000,331.4151488702596,18603.0
14,6,2000,501.53101053188544,166241.0
5,5,1800,167.87747320278976,49112.0
12,4,3000,311.4844704966844,153805.0
9,2,2500,70.48781154632661,43557.0
11,3,1800,530.7660015901682,73304.0
9,3,2500,105.00297737390298,80261.0
9,4,5000,61.417350810243,203322.0
9,5,5000,123.03035911390998,220044.0
11,5,2000,483.7388932337889,131037.0
11,6,2000,63.48871661080968,134779.0
2,6,1800,368.65649690289956,26251.0
12,5,3000,447.7087803690754,204841.0
8,3,1800,450.64869628972264,49468.0
5,4,2000,114.03653196487869,57095.0
8,3,2000,36.974399026567205,57701.0
14,4,1800,269.2838302633306,114472.0
13,5,2000,121.49120714672765,136449.0
12,3,3000,419.5624854083628,115277.0
7,4,1500,214.0156797932526,40270.0
11,1,1800,269.61236461987926,16946.0
6,5,5000,68.09095986102709,136315.0
10,3,3000,340.530171928915,93549.0
9,3,2000,111.31451377914439,42981.0
4,4,1800,407.39139654896223,33085.0
4,2,2000,42.701293528736215,15863.0
1,4,1800,585.536755368794,16146.0
2,5,2500,410.716187151487,30679.0
7,3,2000,109.0377406871557,41569.0
7,1,2500,8.456787277113476,21563.0
3,3,3000,200.67773532313126,31840.0
6,2,2000,91.68795843132445,23125.0
9,3,3000,131.0467998717276,81898.0
4,4,2000,523.6501550627337,40241.0
5,1,2000,361.9227960305097,10440.0
6,5,2500,105.87459181733969,70318.0
8,2,3000,333.9956404124693,57205.0
6,6,5000,153.46839205499595,174660.0
11,5,2500,585.7205186148535,130846.0
5,2,2000,19.654338158217154,20053.0
7,4,3000,439.39105330068907,92329.0
6,1,1800,463.7982157148564,9988.0
3,1,1800,40.29765837462016,5534.0
10,6,2500,103.12161853881095,169213.0
4,5,1800,230.58399546237453,42871.0
5,1,3000,520.8928959174407,22325.0
12,2,1500,322.1999630510996,44827.0
14,2,1800,393.1841100043743,63714.0
10,3,1800,469.80770127410557,83454.0
13,2,1800,496.87367300251196,55611.0
12,2,2500,285.77072585020863,63517.0
7,4,2000,305.2758832640888,68431.0
11,2,3000,430.80351425266764,64939.0
5,6,1800,158.00541524137583,58544.0
7,5,2000,512.6938418193147,74252.0
8,5,1800,12.472094685504942,75784.0
14,2,1500,117.4629613258348,39709.0
12,5,2000,480.1199658219019,119348.0
7,6,3000,204.15492713560334,137558.0
10,2,2000,89.89969961538358,40052.0
3,5,5000,112.05285342684199,61291.0
12,3,2000,318.4538411616417,63670.0
8,5,3000,507.70891760699266,113414.0
8,3,2500,42.390429462666354,54425.0
11,5,2500,18.288545474789643,144895.0
9,1,1800,279.1008815021059,17777.0
2,3,1800,573.7124490321809,20096.0
5,2,5000,167.40588204847583,56193.0
3,2,5000,575.502323440229,39354.0
11,2,3000,532.6087059540008,75582.0
1,3,2000,169.8810458325067,8243.0
3,1,3000,490.16883855368803,12506.0
9,5,2000,411.5203815412913,109689.0
10,4,1800,307.0934333428543,80464.0
8,5,3000,253.74968582572484,145684.0
13,5,1800,489.301653555274,95680.0
13,1,1800,475.84765961701277,24437.0
2,1,3000,454.1618015655355,7535.0
14,3,2500,598.9535707291775,128830.0
9,3,1500,287.10747656483034,53065.0
9,2,2000,484.1537866919495,33505.0
2,5,2000,517.487020190087,35950.0
9,4,3000,126.96154887221036,95602.0
11,5,1800,25.23986523183659,86770.0
9,1,3000,242.8490413131478,27196.0
2,5,2000,514.0420106620655,29146.0
8,2,2500,173.46196871670614,34328.0
14,3,1800,420.00609244045444,87181.0
11,3,2500,4.408883438557609,89565.0
2,5,2500,213.21865939214263,33210.0
14,2,3000,369.3100168548907,82547.0
14,2,5000,77.85431404340213,139956.0
3,3,1800,537.9641472884604,22573.0
12,3,2000,93.76438627024754,89544.0
6,2,2000,545.8761270023969,20189.0
9,2,2000,129.83358520978481,33021.0
7,2,5000,596.5672043495044,74822.0
11,3,1800,362.84922797735453,55967.0
14,3,1500,50.60693666298677,61666.0
12,3,2000,39.16634068719591,71382.0
14,5,2000,44.95301775568126,130206.0
14,2,2000,353.93564837457114,59288.0
2,6,2000,485.7475213964311,38450.0
4,5,2000,241.77764506230343,43582.0
11,2,2000,266.9014555691171,43693.0
9,2,1500,353.5726221987768,29241.0
1,2,2500,319.82436287181343,7552.0
