slug,category,text,score
bandarban,mountain,Bandarban great breakfast and friendly staff best trip ever highly recommend,5
bandarban,mountain,Bandarban worst experience ever,1
bandarban,mountain,Bandarban spotless room with great view good service and clean room,4
bandarban,mountain,Bandarban not worth the price small room and unhelpful staff small room and unhelpful staff,2
bandarban,mountain,Bandarban okay place for one night nice food and helpful staff,4
bandarban,mountain,Bandarban outstanding service and perfect location,5
bandarban,mountain,Bandarban good service and clean room good service and clean room spotless room with great view,4
bandarban,mountain,Bandarban small room and unhelpful staff decent location but small rooms nice food and helpful staff,3
bandarban,mountain,Bandarban terrible service and dirty room worst experience ever horrible smell and broken air conditioning,1
bandarban,mountain,Bandarban good service and clean room memorable stay with excellent food pleasant view and good wifi,5
bandarban,mountain,Bandarban memorable stay with excellent food,5
bandarban,mountain,Bandarban outstanding service and perfect location,5
bandarban,mountain,Bandarban rude staff and noisy place average stay nothing special below average food and slow wifi,2
bandarban,mountain,Bandarban best trip ever highly recommend,5
bandarban,mountain,Bandarban staff ignored our complaints terrible service and dirty room,1
bandarban,mountain,Bandarban horrible smell and broken air conditioning,1
bandarban,mountain,Bandarban small room and unhelpful staff reasonable value for a short trip,2
bandarban,mountain,Bandarban not worth the price mediocre rooms with bad lighting,2
bandarban,mountain,Bandarban okay place for one night,3
bandarban,mountain,Bandarban mediocre rooms with bad lighting below average food and slow wifi reasonable value for a short trip,2
bandarban,mountain,Bandarban decent location but small rooms good service and clean room,3
bandarban,mountain,Bandarban staff ignored our complaints rude staff and noisy place,1
bandarban,mountain,Bandarban spotless room with great view best trip ever highly recommend,5
bandarban,mountain,Bandarban not worth the price terrible service and dirty room horrible smell and broken air conditioning,1
bandarban,mountain,Bandarban good service and clean room,4
bandarban,mountain,Bandarban okay place for one night not worth the price,3
bandarban,mountain,Bandarban spotless room with great view,5
bandarban,mountain,Bandarban memorable stay with excellent food,5
bandarban,mountain,Bandarban mediocre rooms with bad lighting okay place for one night,2
bandarban,mountain,Bandarban staff ignored our complaints,1
bandarban,mountain,Bandarban good service and clean room,4
bandarban,mountain,Bandarban good service and clean room,4
bandarban,mountain,Bandarban comfortable stay would return below average food and slow wifi decent location but small rooms,3
bandarban,mountain,Bandarban mediocre rooms with bad lighting,2
bandarban,mountain,Bandarban staff ignored our complaints mediocre rooms with bad lighting,1
bandarban,mountain,Bandarban memorable stay with excellent food amazing experience wonderful staff,5
bandarban,mountain,Bandarban best trip ever highly recommend best trip ever highly recommend,5
bandarban,mountain,Bandarban average stay nothing special good service and clean room best trip ever highly recommend,4
bandarban,mountain,Bandarban okay place for one night average stay nothing special,3
bandarban,mountain,Bandarban expected better from the pictures worst experience ever not worth the price,2
bandarban,mountain,Bandarban terrible service and dirty room mediocre rooms with bad lighting expected better from the pictures,2
bandarban,mountain,Bandarban best trip ever highly recommend amazing experience wonderful staff great breakfast and friendly staff,5
bandarban,mountain,Bandarban worst experience ever terrible service and dirty room rude staff and noisy place,1
bandarban,mountain,Bandarban not worth the price okay place for one night,2
bandarban,mountain,Bandarban worst experience ever,1
bandarban,mountain,Bandarban below average food and slow wifi,2
bandarban,mountain,Bandarban rude staff and noisy place,1
bandarban,mountain,Bandarban okay place for one night average stay nothing special good service and clean room,3
bandarban,mountain,Bandarban below average food and slow wifi,2
bandarban,mountain,Bandarban comfortable stay would return,4
bandarban,mountain,Bandarban great breakfast and friendly staff,4
bandarban,mountain,Bandarban expected better from the pictures terrible service and dirty room rude staff and noisy place,1
bandarban,mountain,Bandarban not worth the price,2
bandarban,mountain,Bandarban fine but nothing to remember great breakfast and friendly staff okay place for one night,4
bandarban,mountain,Bandarban terrible service and dirty room rude staff and noisy place,1
bandarban,mountain,Bandarban rude staff and noisy place,1
bandarban,mountain,Bandarban fine but nothing to remember reasonable value for a short trip,3
bandarban,mountain,Bandarban amazing experience wonderful staff amazing experience wonderful staff,5
bandarban,mountain,Bandarban worst experience ever below average food and slow wifi fine but nothing to remember,2
bandarban,mountain,Bandarban spotless room with great view good service and clean room,5
bandarban,mountain,Bandarban reasonable value for a short trip decent location but small rooms comfortable stay would return,3
chattogram,beach,Chattogram good service and clean room,4
chattogram,beach,Chattogram decent location but small rooms,3
chattogram,beach,Chattogram memorable stay with excellent food,5
chattogram,beach,Chattogram comfortable stay would return great breakfast and friendly staff,4
chattogram,beach,Chattogram okay place for one night nice food and helpful staff reasonable value for a short trip,3
chattogram,beach,Chattogram amazing experience wonderful staff,5
chattogram,beach,Chattogram below average food and slow wifi mediocre rooms with bad lighting worst experience ever,2
chattogram,beach,Chattogram horrible smell and broken air conditioning terrible service and dirty room worst experience ever,1
chattogram,beach,Chattogram spotless room with great view comfortable stay would return,5
chattogram,beach,Chattogram memorable stay with excellent food,5
chattogram,beach,Chattogram average stay nothing special nice food and helpful staff,3
chattogram,beach,Chattogram great breakfast and friendly staff okay place for one night comfortable stay would return,3
chattogram,beach,Chattogram amazing experience wonderful staff good service and clean room,5
chattogram,beach,Chattogram pleasant view and good wifi outstanding service and perfect location memorable stay with excellent food,5
chattogram,beach,Chattogram comfortable stay would return,4
chattogram,beach,Chattogram spotless room with great view,5
chattogram,beach,Chattogram fine but nothing to remember,3
chattogram,beach,Chattogram below average food and slow wifi mediocre rooms with bad lighting,2
chattogram,beach,Chattogram not worth the price mediocre rooms with bad lighting horrible smell and broken air conditioning,1
chattogram,beach,Chattogram staff ignored our complaints not worth the price,1
chattogram,beach,Chattogram best trip ever highly recommend,5
chattogram,beach,Chattogram outstanding service and perfect location outstanding service and perfect location,5
chattogram,beach,Chattogram small room and unhelpful staff worst experience ever,2
chattogram,beach,Chattogram spotless room with great view,5
chattogram,beach,Chattogram worst experience ever terrible service and dirty room,1
chattogram,beach,Chattogram worst experience ever,1
chattogram,beach,Chattogram expected better from the pictures decent location but small rooms mediocre rooms with bad lighting,2
chattogram,beach,Chattogram small room and unhelpful staff,2
chattogram,beach,Chattogram comfortable stay would return decent location but small rooms,4
chattogram,beach,Chattogram staff ignored our complaints horrible smell and broken air conditioning,1
chattogram,beach,Chattogram good service and clean room,4
chattogram,beach,Chattogram amazing experience wonderful staff reasonable value for a short trip comfortable stay would return,4
chattogram,beach,Chattogram decent location but small rooms decent location but small rooms comfortable stay would return,3
chattogram,beach,Chattogram staff ignored our complaints staff ignored our complaints,1
chattogram,beach,Chattogram outstanding service and perfect location pleasant view and good wifi memorable stay with excellent food,5
chattogram,beach,Chattogram reasonable value for a short trip fine but nothing to remember,3
chattogram,beach,Chattogram horrible smell and broken air conditioning,1
chattogram,beach,Chattogram okay place for one night,3
chattogram,beach,Chattogram rude staff and noisy place not worth the price,1
chattogram,beach,Chattogram average stay nothing special small room and unhelpful staff,3
chattogram,beach,Chattogram worst experience ever,1
chattogram,beach,Chattogram best trip ever highly recommend great breakfast and friendly staff,4
chattogram,beach,Chattogram decent location but small rooms not worth the price terrible service and dirty room,2
chattogram,beach,Chattogram memorable stay with excellent food best trip ever highly recommend,5
chattogram,beach,Chattogram best trip ever highly recommend,5
chattogram,beach,Chattogram pleasant view and good wifi average stay nothing special outstanding service and perfect location,4
chattogram,beach,Chattogram pleasant view and good wifi expected better from the pictures reasonable value for a short trip,3
chattogram,beach,Chattogram great breakfast and friendly staff okay place for one night,4
chattogram,beach,Chattogram good service and clean room,4
chattogram,beach,Chattogram below average food and slow wifi reasonable value for a short trip,3
chattogram,beach,Chattogram best trip ever highly recommend amazing experience wonderful staff,5
chattogram,beach,Chattogram comfortable stay would return,4
chattogram,beach,Chattogram terrible service and dirty room,1
chattogram,beach,Chattogram not worth the price decent location but small rooms comfortable stay would return,3
chattogram,beach,Chattogram not worth the price fine but nothing to remember staff ignored our complaints,2
chattogram,beach,Chattogram not worth the price rude staff and noisy place terrible service and dirty room,1
chattogram,beach,Chattogram staff ignored our complaints,1
chattogram,beach,Chattogram spotless room with great view,5
chattogram,beach,Chattogram horrible smell and broken air conditioning,1
chattogram,beach,Chattogram good service and clean room,4
chattogram,beach,Chattogram rude staff and noisy place,1
chattogram,beach,Chattogram reasonable value for a short trip okay place for one night good service and clean room,4
chattogram,beach,Chattogram good service and clean room pleasant view and good wifi best trip ever highly recommend,4
chattogram,beach,Chattogram memorable stay with excellent food,5
chattogram,beach,Chattogram expected better from the pictures decent location but small rooms,3
chattogram,beach,Chattogram good service and clean room good service and clean room amazing experience wonderful staff,4
chattogram,beach,Chattogram outstanding service and perfect location good service and clean room,4
chattogram,beach,Chattogram fine but nothing to remember decent location but small rooms,3
chattogram,beach,Chattogram fine but nothing to remember,3
chattogram,beach,Chattogram best trip ever highly recommend average stay nothing special nice food and helpful staff,4
chattogram,beach,Chattogram nice food and helpful staff,4
chattogram,beach,Chattogram not worth the price decent location but small rooms,2
chattogram,beach,Chattogram comfortable stay would return great breakfast and friendly staff spotless room with great view,5
chattogram,beach,Chattogram memorable stay with excellent food,5
chattogram,beach,Chattogram comfortable stay would return,4
chattogram,beach,Chattogram staff ignored our complaints rude staff and noisy place,1
chattogram,beach,Chattogram expected better from the pictures,2
chattogram,beach,Chattogram nice food and helpful staff fine but nothing to remember,4
chattogram,beach,Chattogram nice food and helpful staff great breakfast and friendly staff,4
chattogram,beach,Chattogram decent location but small rooms small room and unhelpful staff staff ignored our complaints,2
chattogram,beach,Chattogram great breakfast and friendly staff outstanding service and perfect location spotless room with great view,4
chattogram,beach,Chattogram expected better from the pictures terrible service and dirty room worst experience ever,1
chattogram,beach,Chattogram good service and clean room memorable stay with excellent food,5
chattogram,beach,Chattogram spotless room with great view,5
chattogram,beach,Chattogram pleasant view and good wifi reasonable value for a short trip,3
chattogram,beach,Chattogram outstanding service and perfect location,5
chattogram,beach,Chattogram not worth the price mediocre rooms with bad lighting rude staff and noisy place,2
chattogram,beach,Chattogram reasonable value for a short trip fine but nothing to remember,3
chattogram,beach,Chattogram amazing experience wonderful staff good service and clean room best trip ever highly recommend,5
chattogram,beach,Chattogram small room and unhelpful staff horrible smell and broken air conditioning,1
chattogram,beach,Chattogram below average food and slow wifi,2
chattogram,beach,Chattogram best trip ever highly recommend pleasant view and good wifi,4
chattogram,beach,Chattogram fine but nothing to remember,3
chattogram,beach,Chattogram spotless room with great view,5
chattogram,beach,Chattogram spotless room with great view,5
chattogram,beach,Chattogram horrible smell and broken air conditioning,1
chattogram,beach,Chattogram pleasant view and good wifi fine but nothing to remember,4
chattogram,beach,Chattogram below average food and slow wifi expected better from the pictures,2
chattogram,beach,Chattogram amazing experience wonderful staff memorable stay with excellent food best trip ever highly recommend,5
chattogram,beach,Chattogram amazing experience wonderful staff,5
coxs-bazar,beach,Cox's Bazar outstanding service and perfect location great breakfast and friendly staff,5
coxs-bazar,beach,Cox's Bazar average stay nothing special,3
coxs-bazar,beach,Cox's Bazar not worth the price expected better from the pictures worst experience ever,1
coxs-bazar,beach,Cox's Bazar small room and unhelpful staff worst experience ever,1
coxs-bazar,beach,Cox's Bazar not worth the price horrible smell and broken air conditioning,1
coxs-bazar,beach,Cox's Bazar spotless room with great view memorable stay with excellent food nice food and helpful staff,5
coxs-bazar,beach,Cox's Bazar comfortable stay would return,4
coxs-bazar,beach,Cox's Bazar outstanding service and perfect location memorable stay with excellent food outstanding service and perfect location,5
coxs-bazar,beach,Cox's Bazar comfortable stay would return best trip ever highly recommend,5
coxs-bazar,beach,Cox's Bazar not worth the price expected better from the pictures small room and unhelpful staff,2
coxs-bazar,beach,Cox's Bazar best trip ever highly recommend,5
coxs-bazar,beach,Cox's Bazar comfortable stay would return reasonable value for a short trip,3
coxs-bazar,beach,Cox's Bazar terrible service and dirty room not worth the price,1
coxs-bazar,beach,Cox's Bazar average stay nothing special rude staff and noisy place mediocre rooms with bad lighting,2
coxs-bazar,beach,Cox's Bazar rude staff and noisy place horrible smell and broken air conditioning,1
coxs-bazar,beach,Cox's Bazar not worth the price mediocre rooms with bad lighting mediocre rooms with bad lighting,2
coxs-bazar,beach,Cox's Bazar mediocre rooms with bad lighting worst experience ever,1
coxs-bazar,beach,Cox's Bazar outstanding service and perfect location,5
coxs-bazar,beach,Cox's Bazar best trip ever highly recommend,5
coxs-bazar,beach,Cox's Bazar rude staff and noisy place terrible service and dirty room,1
coxs-bazar,beach,Cox's Bazar rude staff and noisy place horrible smell and broken air conditioning horrible smell and broken air conditioning,1
coxs-bazar,beach,Cox's Bazar expected better from the pictures small room and unhelpful staff horrible smell and broken air conditioning,1
coxs-bazar,beach,Cox's Bazar fine but nothing to remember,3
coxs-bazar,beach,Cox's Bazar average stay nothing special below average food and slow wifi,3
coxs-bazar,beach,Cox's Bazar good service and clean room,4
coxs-bazar,beach,Cox's Bazar pleasant view and good wifi,4
coxs-bazar,beach,Cox's Bazar worst experience ever below average food and slow wifi,1
coxs-bazar,beach,Cox's Bazar memorable stay with excellent food nice food and helpful staff best trip ever highly recommend,5
coxs-bazar,beach,Cox's Bazar staff ignored our complaints,1
coxs-bazar,beach,Cox's Bazar great breakfast and friendly staff decent location but small rooms okay place for one night,4
coxs-bazar,beach,Cox's Bazar small room and unhelpful staff mediocre rooms with bad lighting below average food and slow wifi,2
coxs-bazar,beach,Cox's Bazar fine but nothing to remember below average food and slow wifi,3
coxs-bazar,beach,Cox's Bazar decent location but small rooms,3
coxs-bazar,beach,Cox's Bazar worst experience ever rude staff and noisy place,1
coxs-bazar,beach,Cox's Bazar fine but nothing to remember decent location but small rooms,3
coxs-bazar,beach,Cox's Bazar terrible service and dirty room below average food and slow wifi,1
coxs-bazar,beach,Cox's Bazar spotless room with great view,5
coxs-bazar,beach,Cox's Bazar rude staff and noisy place below average food and slow wifi staff ignored our complaints,1
coxs-bazar,beach,Cox's Bazar horrible smell and broken air conditioning horrible smell and broken air conditioning,1
coxs-bazar,beach,Cox's Bazar expected better from the pictures,2
coxs-bazar,beach,Cox's Bazar expected better from the pictures mediocre rooms with bad lighting,2
coxs-bazar,beach,Cox's Bazar not worth the price expected better from the pictures horrible smell and broken air conditioning,1
coxs-bazar,beach,Cox's Bazar spotless room with great view,5
coxs-bazar,beach,Cox's Bazar not worth the price,2
coxs-bazar,beach,Cox's Bazar below average food and slow wifi expected better from the pictures decent location but small rooms,3
coxs-bazar,beach,Cox's Bazar amazing experience wonderful staff best trip ever highly recommend,5
coxs-bazar,beach,Cox's Bazar outstanding service and perfect location good service and clean room,4
coxs-bazar,beach,Cox's Bazar nice food and helpful staff good service and clean room good service and clean room,4
coxs-bazar,beach,Cox's Bazar outstanding service and perfect location,5
coxs-bazar,beach,Cox's Bazar outstanding service and perfect location,5
coxs-bazar,beach,Cox's Bazar nice food and helpful staff memorable stay with excellent food,5
coxs-bazar,beach,Cox's Bazar pleasant view and good wifi amazing experience wonderful staff,5
coxs-bazar,beach,Cox's Bazar horrible smell and broken air conditioning mediocre rooms with bad lighting,2
coxs-bazar,beach,Cox's Bazar comfortable stay would return,4
coxs-bazar,beach,Cox's Bazar small room and unhelpful staff,2
coxs-bazar,beach,Cox's Bazar nice food and helpful staff great breakfast and friendly staff memorable stay with excellent food,4
coxs-bazar,beach,Cox's Bazar terrible service and dirty room,1
coxs-bazar,beach,Cox's Bazar mediocre rooms with bad lighting below average food and slow wifi,2
coxs-bazar,beach,Cox's Bazar memorable stay with excellent food best trip ever highly recommend comfortable stay would return,5
coxs-bazar,beach,Cox's Bazar good service and clean room outstanding service and perfect location,5
coxs-bazar,beach,Cox's Bazar terrible service and dirty room horrible smell and broken air conditioning small room and unhelpful staff,1
coxs-bazar,beach,Cox's Bazar decent location but small rooms nice food and helpful staff pleasant view and good wifi,4
coxs-bazar,beach,Cox's Bazar decent location but small rooms okay place for one night expected better from the pictures,2
coxs-bazar,beach,Cox's Bazar comfortable stay would return,4
coxs-bazar,beach,Cox's Bazar outstanding service and perfect location,5
coxs-bazar,beach,Cox's Bazar expected better from the pictures,2
coxs-bazar,beach,Cox's Bazar okay place for one night good service and clean room average stay nothing special,3
coxs-bazar,beach,Cox's Bazar amazing experience wonderful staff great breakfast and friendly staff,5
coxs-bazar,beach,Cox's Bazar good service and clean room fine but nothing to remember,4
coxs-bazar,beach,Cox's Bazar rude staff and noisy place,1
coxs-bazar,beach,Cox's Bazar below average food and slow wifi not worth the price worst experience ever,1
coxs-bazar,beach,Cox's Bazar comfortable stay would return,4
coxs-bazar,beach,Cox's Bazar nice food and helpful staff nice food and helpful staff,4
coxs-bazar,beach,Cox's Bazar small room and unhelpful staff below average food and slow wifi fine but nothing to remember,3
coxs-bazar,beach,Cox's Bazar horrible smell and broken air conditioning expected better from the pictures staff ignored our complaints,1
coxs-bazar,beach,Cox's Bazar pleasant view and good wifi average stay nothing special,3
coxs-bazar,beach,Cox's Bazar pleasant view and good wifi average stay nothing special decent location but small rooms,3
coxs-bazar,beach,Cox's Bazar comfortable stay would return memorable stay with excellent food spotless room with great view,5
coxs-bazar,beach,Cox's Bazar staff ignored our complaints below average food and slow wifi reasonable value for a short trip,2
coxs-bazar,beach,Cox's Bazar good service and clean room okay place for one night,4
coxs-bazar,beach,Cox's Bazar horrible smell and broken air conditioning,1
coxs-bazar,beach,Cox's Bazar memorable stay with excellent food nice food and helpful staff great breakfast and friendly staff,5
coxs-bazar,beach,Cox's Bazar reasonable value for a short trip great breakfast and friendly staff,3
coxs-bazar,beach,Cox's Bazar average stay nothing special nice food and helpful staff,3
coxs-bazar,beach,Cox's Bazar not worth the price not worth the price,2
coxs-bazar,beach,Cox's Bazar horrible smell and broken air conditioning worst experience ever,1
coxs-bazar,beach,Cox's Bazar staff ignored our complaints,1
coxs-bazar,beach,Cox's Bazar expected better from the pictures staff ignored our complaints terrible service and dirty room,1
coxs-bazar,beach,Cox's Bazar terrible service and dirty room,1
coxs-bazar,beach,Cox's Bazar best trip ever highly recommend,5
coxs-bazar,beach,Cox's Bazar small room and unhelpful staff small room and unhelpful staff,2
coxs-bazar,beach,Cox's Bazar decent location but small rooms,3
coxs-bazar,beach,Cox's Bazar fine but nothing to remember,3
coxs-bazar,beach,Cox's Bazar not worth the price reasonable value for a short trip fine but nothing to remember,3
coxs-bazar,beach,Cox's Bazar reasonable value for a short trip,3
coxs-bazar,beach,Cox's Bazar pleasant view and good wifi fine but nothing to remember,3
coxs-bazar,beach,Cox's Bazar reasonable value for a short trip,3
coxs-bazar,beach,Cox's Bazar amazing experience wonderful staff,5
coxs-bazar,beach,Cox's Bazar staff ignored our complaints,1
coxs-bazar,beach,Cox's Bazar average stay nothing special okay place for one night comfortable stay would return,4
dhaka,city,Dhaka outstanding service and perfect location pleasant view and good wifi amazing experience wonderful staff,5
dhaka,city,Dhaka expected better from the pictures,2
dhaka,city,Dhaka not worth the price reasonable value for a short trip,3
dhaka,city,Dhaka horrible smell and broken air conditioning worst experience ever mediocre rooms with bad lighting,1
dhaka,city,Dhaka spotless room with great view,5
dhaka,city,Dhaka comfortable stay would return best trip ever highly recommend good service and clean room,5
dhaka,city,Dhaka okay place for one night expected better from the pictures,2
dhaka,city,Dhaka good service and clean room okay place for one night reasonable value for a short trip,3
dhaka,city,Dhaka good service and clean room reasonable value for a short trip,3
dhaka,city,Dhaka memorable stay with excellent food comfortable stay would return okay place for one night,4
dhaka,city,Dhaka not worth the price,2
dhaka,city,Dhaka pleasant view and good wifi decent location but small rooms,4
dhaka,city,Dhaka amazing experience wonderful staff,5
dhaka,city,Dhaka terrible service and dirty room,1
dhaka,city,Dhaka pleasant view and good wifi,4
dhaka,city,Dhaka staff ignored our complaints below average food and slow wifi not worth the price,1
dhaka,city,Dhaka small room and unhelpful staff small room and unhelpful staff staff ignored our complaints,2
dhaka,city,Dhaka great breakfast and friendly staff,4
dhaka,city,Dhaka worst experience ever staff ignored our complaints,1
dhaka,city,Dhaka good service and clean room,4
dhaka,city,Dhaka decent location but small rooms staff ignored our complaints mediocre rooms with bad lighting,2
dhaka,city,Dhaka not worth the price,2
dhaka,city,Dhaka reasonable value for a short trip reasonable value for a short trip average stay nothing special,3
dhaka,city,Dhaka outstanding service and perfect location spotless room with great view memorable stay with excellent food,5
dhaka,city,Dhaka mediocre rooms with bad lighting below average food and slow wifi,2
dhaka,city,Dhaka okay place for one night pleasant view and good wifi,4
dhaka,city,Dhaka staff ignored our complaints expected better from the pictures rude staff and noisy place,2
dhaka,city,Dhaka nice food and helpful staff,4
dhaka,city,Dhaka fine but nothing to remember good service and clean room great breakfast and friendly staff,3
dhaka,city,Dhaka great breakfast and friendly staff pleasant view and good wifi,4
dhaka,city,Dhaka not worth the price,2
dhaka,city,Dhaka horrible smell and broken air conditioning staff ignored our complaints,1
dhaka,city,Dhaka memorable stay with excellent food,5
dhaka,city,Dhaka okay place for one night great breakfast and friendly staff,4
dhaka,city,Dhaka horrible smell and broken air conditioning,1
dhaka,city,Dhaka nice food and helpful staff,4
dhaka,city,Dhaka nice food and helpful staff spotless room with great view outstanding service and perfect location,5
dhaka,city,Dhaka staff ignored our complaints horrible smell and broken air conditioning rude staff and noisy place,1
dhaka,city,Dhaka mediocre rooms with bad lighting small room and unhelpful staff,2
dhaka,city,Dhaka spotless room with great view memorable stay with excellent food,5
dhaka,city,Dhaka average stay nothing special pleasant view and good wifi,3
dhaka,city,Dhaka spotless room with great view average stay nothing special great breakfast and friendly staff,4
dhaka,city,Dhaka rude staff and noisy place worst experience ever,1
dhaka,city,Dhaka mediocre rooms with bad lighting average stay nothing special,2
dhaka,city,Dhaka mediocre rooms with bad lighting,2
dhaka,city,Dhaka nice food and helpful staff,4
dhaka,city,Dhaka outstanding service and perfect location,5
dhaka,city,Dhaka nice food and helpful staff average stay nothing special,4
dhaka,city,Dhaka reasonable value for a short trip okay place for one night,3
dhaka,city,Dhaka horrible smell and broken air conditioning small room and unhelpful staff worst experience ever,1
dhaka,city,Dhaka great breakfast and friendly staff,4
dhaka,city,Dhaka best trip ever highly recommend good service and clean room outstanding service and perfect location,5
dhaka,city,Dhaka fine but nothing to remember,3
dhaka,city,Dhaka horrible smell and broken air conditioning rude staff and noisy place,1
dhaka,city,Dhaka terrible service and dirty room small room and unhelpful staff horrible smell and broken air conditioning,1
dhaka,city,Dhaka okay place for one night okay place for one night,3
dhaka,city,Dhaka mediocre rooms with bad lighting small room and unhelpful staff horrible smell and broken air conditioning,1
dhaka,city,Dhaka pleasant view and good wifi,4
dhaka,city,Dhaka rude staff and noisy place below average food and slow wifi,1
dhaka,city,Dhaka memorable stay with excellent food great breakfast and friendly staff great breakfast and friendly staff,4
dhaka,city,Dhaka small room and unhelpful staff decent location but small rooms average stay nothing special,3
dhaka,city,Dhaka reasonable value for a short trip,3
dhaka,city,Dhaka not worth the price,2
dhaka,city,Dhaka memorable stay with excellent food memorable stay with excellent food good service and clean room,5
dhaka,city,Dhaka pleasant view and good wifi outstanding service and perfect location nice food and helpful staff,4
dhaka,city,Dhaka worst experience ever,1
dhaka,city,Dhaka reasonable value for a short trip,3
dhaka,city,Dhaka fine but nothing to remember expected better from the pictures pleasant view and good wifi,3
dhaka,city,Dhaka great breakfast and friendly staff good service and clean room comfortable stay would return,4
dhaka,city,Dhaka rude staff and noisy place not worth the price,1
dhaka,city,Dhaka average stay nothing special okay place for one night fine but nothing to remember,3
dhaka,city,Dhaka average stay nothing special average stay nothing special,3
dhaka,city,Dhaka fine but nothing to remember mediocre rooms with bad lighting,3
dhaka,city,Dhaka decent location but small rooms not worth the price,3
dhaka,city,Dhaka okay place for one night,3
dhaka,city,Dhaka outstanding service and perfect location memorable stay with excellent food pleasant view and good wifi,5
dhaka,city,Dhaka rude staff and noisy place,1
dhaka,city,Dhaka comfortable stay would return good service and clean room amazing experience wonderful staff,4
dhaka,city,Dhaka amazing experience wonderful staff,5
dhaka,city,Dhaka good service and clean room comfortable stay would return,4
dhaka,city,Dhaka good service and clean room nice food and helpful staff best trip ever highly recommend,5
dhaka,city,Dhaka memorable stay with excellent food,5
dhaka,city,Dhaka memorable stay with excellent food,5
dhaka,city,Dhaka average stay nothing special below average food and slow wifi mediocre rooms with bad lighting,2
dhaka,city,Dhaka average stay nothing special okay place for one night,3
dhaka,city,Dhaka spotless room with great view comfortable stay would return good service and clean room,5
dhaka,city,Dhaka good service and clean room decent location but small rooms,4
dhaka,city,Dhaka small room and unhelpful staff decent location but small rooms,3
dhaka,city,Dhaka small room and unhelpful staff rude staff and noisy place,1
dhaka,city,Dhaka rude staff and noisy place mediocre rooms with bad lighting fine but nothing to remember,2
dhaka,city,Dhaka horrible smell and broken air conditioning below average food and slow wifi,1
dhaka,city,Dhaka below average food and slow wifi worst experience ever staff ignored our complaints,1
dhaka,city,Dhaka mediocre rooms with bad lighting decent location but small rooms,3
dhaka,city,Dhaka average stay nothing special comfortable stay would return pleasant view and good wifi,4
dhaka,city,Dhaka nice food and helpful staff pleasant view and good wifi amazing experience wonderful staff,5
dhaka,city,Dhaka rude staff and noisy place mediocre rooms with bad lighting,2
dhaka,city,Dhaka rude staff and noisy place,1
dhaka,city,Dhaka average stay nothing special good service and clean room memorable stay with excellent food,4
dhaka,city,Dhaka memorable stay with excellent food outstanding service and perfect location amazing experience wonderful staff,5
dhaka,city,Dhaka great breakfast and friendly staff,4
kuakata,beach,Kuakata expected better from the pictures,2
kuakata,beach,Kuakata nice food and helpful staff,4
