temperature,humidity,latitude,longitude,sos
34.0,55.1,24.93565,90.60093,1
21.1,79.6,23.25952,90.48645,1
26.0,79.9,22.7984,90.30959,1
32.0,71.4,23.52049,89.8752,1
31.2,80.7,23.29275,90.16598,1
31.0,61.4,24.62792,91.14572,1
25.4,64.7,22.55282,89.59181,1
35.6,83.0,22.99537,90.7822,0
31.2,72.7,24.81442,90.23348,1
30.6,68.8,22.95209,90.77945,0
33.1,88.1,23.72306,91.78131,1
32.4,80.5,23.58301,90.01718,0
32.3,61.5,23.45122,90.12243,1
29.5,68.5,22.71312,90.95163,0
28.7,64.8,22.41605,90.14211,1
22.5,57.5,24.1352,91.66025,0
33.3,68.0,22.94153,89.15422,1
36.4,57.5,22.58875,90.95191,0
24.4,70.8,22.83054,91.32542,1
31.4,68.0,23.08855,89.58829,1
29.4,74.4,23.60752,90.54831,0
26.5,59.5,23.90057,90.40635,1
27.7,63.4,24.60047,90.62247,0
22.8,63.3,21.99111,90.74964,0
32.7,46.9,24.13289,89.93187,1
29.1,71.0,23.25398,91.95098,1
31.8,63.2,23.09728,92.22446,1
35.2,86.1,23.58927,89.73149,0
31.7,74.9,23.21101,91.72011,0
25.7,66.9,22.87031,89.69834,1
34.7,59.3,23.22294,90.31378,1
29.6,63.9,22.87816,90.41763,0
30.2,70.8,23.96848,91.04162,1
26.6,82.2,24.9042,91.16191,0
29.9,62.4,23.41236,90.34532,0
27.7,63.3,23.16264,90.65732,0
26.4,75.1,23.17023,90.44596,1
27.0,81.6,23.95027,89.97784,0
34.3,57.2,23.01811,91.14785,1
34.0,80.6,23.48654,89.57063,0
26.5,65.8,23.7805,90.23824,1
26.8,68.1,23.61091,90.02178,0
30.6,89.8,23.28949,89.65245,1
25.7,62.1,24.23652,90.89015,1
26.7,66.8,23.48596,90.88573,1
32.3,67.6,23.37426,91.00586,1
37.2,54.6,23.5333,89.42421,0
31.9,65.8,24.58685,90.54682,0
30.1,74.6,22.91275,90.33038,1
30.9,59.1,22.70949,91.51674,0
30.6,72.8,23.14531,90.60898,1
28.0,64.0,24.34351,90.41529,0
31.3,62.1,23.574,90.46338,1
29.7,74.2,23.46545,91.49298,0
32.1,59.4,23.99448,90.63123,0
30.4,68.3,23.61311,90.5154,0
34.4,79.9,23.46024,89.79186,1
32.7,48.5,24.48649,91.80228,0
31.2,76.1,23.55981,90.54735,1
28.2,67.2,23.44444,91.05922,0
36.7,54.6,23.85391,90.63461,1
37.1,73.9,24.11897,90.85978,0
35.1,70.7,23.43996,91.9661,0
33.8,79.5,22.96323,91.91533,0
25.0,55.1,23.5713,91.16889,1
30.4,57.4,22.89411,90.7456,0
42.0,69.2,23.3088,89.08537,0
27.4,67.9,23.24415,90.32167,0
26.3,73.7,24.31087,90.6493,1
31.0,50.5,22.99904,90.7801,0
20.6,77.9,23.33383,90.6549,1
31.1,69.3,24.25441,91.30852,0
30.3,68.6,24.28587,89.93252,1
27.2,75.7,23.21959,88.26761,0
35.5,68.7,22.51908,91.00629,0
26.6,90.9,23.5492,90.91307,0
30.7,67.3,22.70257,89.79751,0
26.0,71.6,23.46341,90.45691,0
28.6,70.9,24.20086,89.25775,0
33.1,59.9,23.28011,89.9927,1
23.2,82.3,23.11487,89.73486,0
36.8,67.9,23.58733,90.65987,0
26.6,57.8,23.53171,90.1826,1
32.5,54.6,23.70161,90.47639,0
36.4,79.4,24.16235,90.53801,0
33.8,85.7,22.66143,89.73619,0
24.7,76.3,22.71228,90.02564,1
39.5,76.6,23.11422,91.81738,0
36.4,67.5,24.60607,91.18221,0
36.8,59.3,22.71893,89.87431,1
26.5,75.9,23.87411,90.20066,0
28.3,78.9,22.74655,90.44473,0
27.1,70.8,24.24148,89.52498,1
32.1,74.3,24.49455,91.4884,0
33.2,52.4,23.26215,90.81795,1
28.4,66.1,23.96154,89.55809,0
35.6,71.4,24.4328,90.30145,1
34.3,80.9,24.94276,90.44187,1
31.0,60.1,23.57219,90.69598,1
28.5,81.9,22.97856,90.39408,0
18.8,66.4,22.28866,91.23194,1
27.5,83.3,22.61483,92.01915,0
34.2,63.9,23.25367,90.99441,1
18.2,74.0,23.57355,91.20488,0
28.6,65.8,22.70217,89.8693,0
25.3,95.6,24.62617,91.59017,1
29.3,57.6,23.28825,90.7793,0
30.8,51.9,22.62315,90.2439,0
31.0,68.7,23.20424,88.95223,1
21.5,73.1,23.67955,90.43321,1
28.8,60.5,23.30563,90.99729,1
30.1,74.1,22.69344,90.47212,0
33.7,73.9,23.79195,91.17621,0
34.7,72.6,22.78959,90.27643,0
28.1,61.3,23.17866,90.03238,1
36.2,70.2,22.84958,90.97706,1
30.1,72.2,24.16361,89.70373,1
33.4,69.0,21.4926,90.8118,0
31.3,57.3,24.00308,89.6701,0
27.9,81.2,24.32308,91.5393,1
31.6,65.6,23.64854,89.937,0
31.6,83.4,22.89755,90.19845,0
29.7,97.8,23.30152,90.69755,0
32.0,55.6,24.88943,89.56098,1
26.6,55.9,22.96876,89.75576,1
31.2,60.6,24.29495,91.1886,0
33.4,76.7,23.70001,91.04648,0
24.7,70.8,23.50074,90.65353,0
29.4,63.0,23.52276,90.49679,1
32.4,76.2,22.62314,90.3443,0
37.1,98.0,22.31781,89.79135,1
28.3,75.2,24.67598,90.13903,0
27.6,79.2,23.51835,90.35919,0
35.9,55.2,24.18672,90.38093,0
25.4,48.6,23.44499,91.4846,1
31.8,77.8,22.74253,90.99775,1
30.0,67.9,24.07402,90.61493,1
37.1,89.5,25.35049,91.60572,1
33.6,71.8,23.11562,91.38997,0
30.4,53.6,23.33693,90.65825,0
34.6,66.5,23.11386,90.27364,1
28.1,44.7,23.70109,90.30395,0
31.3,69.0,23.50229,91.13052,1
24.2,71.1,22.9312,90.73355,0
29.9,66.7,22.96708,90.89082,0
29.8,81.3,23.80736,89.03874,1
30.2,70.2,22.40839,91.47507,1
25.3,61.0,22.81667,89.28739,0
35.5,81.5,23.26286,88.96288,0
24.7,72.1,23.92632,89.91702,1
37.6,70.3,23.26719,90.35339,0
28.2,50.4,23.6392,90.81463,1
30.5,77.7,23.70551,90.13549,0
28.6,72.1,23.63513,90.03376,0
26.7,57.3,22.98477,89.60571,0
34.9,79.7,23.0887,90.39026,0
30.5,69.0,22.4311,89.88567,1
38.5,81.4,24.20006,90.21318,0
26.8,70.0,23.25363,90.22364,1
27.1,77.1,23.01033,91.07985,0
35.6,58.0,23.99521,90.48531,0
23.9,52.7,23.15399,90.57629,1
37.3,82.4,22.81804,91.25247,0
36.6,53.0,23.24203,90.34863,1
24.6,75.3,22.66337,90.09991,1
36.0,66.5,22.71669,90.59887,0
32.7,81.8,23.77911,90.56247,1
29.5,72.9,24.01118,90.09904,0
31.7,76.6,23.88516,91.10413,0
34.5,80.7,22.73274,90.81471,0
31.3,65.5,23.9208,91.03373,1
31.7,75.2,23.94592,89.9457,0
30.1,81.9,23.82278,89.42932,1
30.2,56.1,24.1102,91.52544,1
26.4,59.0,23.42158,90.31654,1
29.6,77.9,23.84242,90.33292,1
29.1,86.0,23.94846,89.992,1
30.7,57.4,24.06676,91.67335,0
25.1,64.4,24.00981,90.95342,1
29.6,57.2,22.32192,90.98397,1
25.8,50.0,23.72069,91.2688,1
27.9,63.4,23.46427,90.35664,1
29.4,69.1,23.72916,91.85649,1
26.5,62.9,23.49518,89.62212,0
35.9,82.9,23.91501,89.9386,0
33.6,58.7,24.48121,90.12533,0
35.0,74.7,22.55061,92.22121,1
36.3,67.5,23.05183,89.9599,1
26.2,72.1,24.08606,90.03405,0
31.6,78.5,23.38561,91.80162,0
31.0,66.6,23.14151,91.14307,1
30.8,76.5,23.2963,90.84534,1
31.4,85.5,22.88355,89.52137,1
27.6,77.9,25.53247,90.03052,1
24.3,66.8,24.83452,90.55778,0
27.1,61.9,24.21485,91.45526,0
27.4,66.1,23.71491,90.99206,0
28.7,83.6,23.96632,89.58642,1
30.8,71.6,23.56763,91.06583,0
26.3,68.4,24.69156,91.69904,1
25.1,72.4,23.51546,90.91434,1
28.3,75.2,23.25356,89.27019,0
27.3,56.5,24.07134,91.96636,0
30.5,81.6,22.27451,91.12391,0
23.5,85.0,23.72606,90.58596,1
29.1,67.1,23.33604,90.8294,0
29.1,65.3,23.30107,91.80989,1
28.1,76.7,23.35095,89.65355,1
31.6,66.4,22.26938,90.84983,0
33.4,77.4,22.71923,90.28783,1
28.9,78.0,23.20663,91.1269,1
31.5,70.4,23.36122,90.85805,1
27.3,74.6,23.7629,90.57123,0
29.2,85.7,23.40112,89.70161,1
32.5,91.1,23.63727,91.89637,1
24.4,79.0,23.85416,89.63736,1
28.2,45.1,24.9043,90.03104,1
28.0,76.1,23.77879,91.38841,1
20.5,53.8,24.27359,90.6485,1
33.5,76.1,24.34794,91.46135,1
38.8,80.9,23.21783,90.5913,1
41.1,88.4,23.08796,91.23769,0
35.0,78.7,24.11564,90.9638,1
30.9,63.0,23.12562,89.65618,1
31.2,74.5,23.06141,89.74982,0
29.2,64.5,23.26861,91.53744,0
26.0,59.7,24.1046,91.95892,1
23.2,61.3,23.14287,90.96857,1
32.6,63.4,22.48555,90.46125,0
30.3,77.8,23.59326,91.11307,0
25.2,68.2,24.99904,90.66224,1
24.4,62.4,22.91356,90.90324,0
29.9,68.7,24.21979,89.51163,0
26.7,75.0,23.83751,90.80376,1
26.7,57.2,22.31827,91.24092,1
31.9,56.8,23.20663,90.56579,0
29.5,52.4,22.42876,90.67014,1
23.4,65.0,23.52303,89.79681,0
26.3,66.0,22.12348,90.39591,1
29.6,65.2,22.97512,90.68622,1
27.8,80.1,23.39872,90.86827,1
28.9,51.6,22.82527,91.24384,1
27.6,53.8,22.65041,91.26238,0
26.6,86.5,23.20982,89.93762,1
38.5,71.7,23.52412,91.96553,1
24.5,67.9,24.03578,91.56336,1
31.0,82.2,23.87987,90.06054,1
29.2,58.6,24.64979,89.31529,0
27.9,65.6,23.70726,89.99393,0
31.2,70.3,23.1935,90.65649,1
33.1,87.4,23.27195,90.2958,1
30.6,58.9,23.42684,89.96189,1
26.6,82.3,23.79779,91.10039,0
29.4,58.0,24.01477,91.03694,1
26.5,77.2,23.31774,89.91526,1
27.6,88.3,23.49599,89.59903,1
30.9,71.2,24.28125,90.12181,0
32.8,64.1,22.66984,91.22259,1
25.3,78.1,24.22515,89.85634,0
29.1,78.5,22.90086,90.81307,1
24.5,73.2,22.53879,91.29645,0
30.3,71.0,24.23953,90.47681,0
27.3,65.3,22.80024,89.27294,0
33.0,79.0,23.703,90.30596,0
31.7,78.4,23.52656,90.26814,1
31.1,77.3,24.12258,90.14849,1
25.7,83.6,24.19369,90.24128,0
30.8,82.1,24.78346,90.2959,1
27.4,70.1,23.27568,90.16114,1
28.4,68.6,23.49964,90.06832,0
23.2,73.7,23.89261,91.84653,0
29.5,79.2,22.87879,90.2621,1
31.0,67.4,23.4307,90.48124,1
26.9,76.4,24.0116,90.79956,0
28.5,62.1,22.61248,89.63906,1
21.3,81.1,25.34932,91.74509,0
32.2,67.1,24.25668,90.16315,1
34.4,59.7,25.01368,90.86346,1
32.5,67.0,22.98813,91.63943,0
25.9,83.5,23.11733,90.00737,0
28.3,60.4,24.11626,89.67951,1
19.2,60.8,22.51349,90.87232,1
28.8,73.1,22.92005,90.26534,0
37.3,69.7,24.23389,91.77169,1
26.3,57.4,23.07516,91.78326,1
33.7,69.6,23.55053,92.04991,0
29.3,71.5,22.4148,91.28899,1
26.5,59.9,24.53069,91.23063,0
25.7,74.0,22.80543,90.36989,1
30.9,95.3,22.11065,90.71784,0
30.7,94.7,24.28939,90.78824,0
28.3,58.9,24.85749,91.11124,1
27.5,72.6,23.56421,91.17697,0
29.4,51.8,23.47891,90.88432,1
26.6,55.5,23.18254,91.51103,0
23.7,70.3,23.43403,91.20399,0
26.8,68.1,23.95309,90.41361,1
26.6,80.8,23.3979,89.80529,0
25.6,87.9,23.31749,90.44071,1
31.2,86.0,23.48186,91.44459,1
33.7,68.8,23.54804,90.86529,0
31.7,73.2,24.1673,89.78114,0
33.8,76.4,23.77155,91.23121,0
20.7,78.5,22.86534,91.64101,1
29.4,68.1,23.35417,89.65194,1
29.3,73.9,23.79605,90.1739,0
34.7,82.8,21.60355,91.31099,1
26.2,84.4,23.681,90.0125,1
26.1,52.1,23.39874,90.26943,1
35.4,50.4,23.06931,90.66197,1
28.9,71.9,23.20171,89.77134,0
33.0,62.0,24.20015,88.92168,0
34.0,70.0,23.18851,89.66952,0
25.2,62.5,23.31267,91.33572,1
34.6,65.3,24.62083,91.00071,1
28.1,54.9,24.88686,89.89735,1
38.8,84.2,23.09644,89.77759,1
30.1,83.0,23.5844,91.71437,1
29.3,74.5,25.13594,90.89487,1
22.4,71.8,24.65292,90.56786,0
31.0,59.2,23.40729,91.08316,1
24.1,75.3,24.49359,89.23418,0
29.1,66.0,23.70014,90.39546,0
21.5,67.5,23.78765,89.75487,1
29.3,57.5,24.8134,90.75315,0
27.8,68.5,22.98976,89.94149,0
34.0,79.7,22.56967,91.439,1
33.1,76.4,23.36725,90.40796,0
31.5,85.0,24.17911,90.05289,1
26.9,70.4,22.69621,88.52506,0
32.3,80.3,23.23173,89.1708,1
31.9,73.5,24.36579,90.8106,0
32.3,78.2,23.15169,90.73838,1
26.5,65.6,22.82311,90.30292,1
33.5,84.8,22.07456,89.93286,0
33.4,80.8,24.25348,90.46547,1
32.2,77.3,22.54107,90.3149,1
26.0,86.7,22.89811,89.3326,0
25.5,71.8,23.60688,90.06473,0
27.9,83.6,22.7357,89.8157,0
29.4,79.0,23.64115,90.38571,0
26.5,60.7,23.58315,89.56676,0
33.3,66.4,23.69922,90.542,1
28.6,71.2,22.69234,89.73213,0
26.8,87.5,23.04887,90.60689,1
28.9,73.9,24.11691,90.57107,0
36.3,72.5,23.14603,90.00421,0
23.9,82.6,22.68909,91.086,0
33.0,75.4,23.54351,90.33898,1
32.7,85.1,23.30296,91.59889,1
34.3,81.1,22.85406,90.37479,1
29.1,80.4,23.07334,90.7668,0
21.4,69.5,24.10753,90.27424,0
29.1,58.3,23.67756,90.57334,0
22.3,70.5,22.76254,89.77479,1
33.5,70.7,22.90554,90.66335,1
32.8,76.6,23.08904,90.54894,0
28.6,84.5,23.79667,90.08159,1
29.1,73.8,23.96279,91.02088,0
35.0,74.5,22.86863,90.14243,1
23.6,87.7,24.83011,90.33927,1
29.7,72.1,21.86833,91.27523,0
31.3,64.0,22.8391,91.15745,1
34.5,79.0,22.09921,89.57344,0
33.6,63.4,23.34716,91.94284,1
35.6,73.8,23.21279,90.65743,1
30.9,64.3,23.67267,89.92938,0
35.5,83.6,22.80413,90.69267,1
27.4,80.6,23.46772,89.63737,0
34.9,67.8,22.74746,89.53586,0
30.8,63.7,24.20758,90.65325,1
26.2,58.4,23.30061,90.19666,0
31.4,60.8,24.18438,91.74913,0
26.5,71.6,24.61509,91.04209,0
29.0,58.3,23.46455,90.33125,0
28.9,62.8,23.72359,91.18736,1
36.9,58.7,22.24684,89.88996,1
29.3,78.6,23.26816,90.37341,1
27.8,56.1,23.67038,89.09025,1
27.3,96.5,22.84497,89.23998,1
31.2,69.2,24.20443,89.74117,1
32.3,52.0,23.3052,89.33275,0
34.6,70.8,22.91704,92.1005,1
31.8,65.2,24.34321,91.09026,1
32.9,53.5,22.98357,88.62624,0
23.3,56.4,23.77837,90.71846,1
31.7,91.7,23.91778,90.89326,1
28.5,61.6,23.40277,90.40432,1
30.4,64.7,23.83095,90.98522,0
16.8,76.2,22.52285,90.3069,1
32.6,56.5,23.25033,92.59681,0
27.8,71.6,23.76414,89.81881,1
32.7,61.1,23.87656,90.80657,0
26.3,65.6,22.59969,90.09702,0
35.9,55.6,22.65285,90.20403,1
27.3,74.1,24.52329,90.66835,0
33.1,74.0,23.76404,90.24557,0
35.1,75.2,22.88487,90.70487,0
31.0,64.1,23.00529,90.93104,0
32.4,70.4,24.55091,90.95574,0
31.7,75.6,23.45024,89.11556,0
31.4,61.7,24.29349,89.67781,0
29.0,65.2,22.75885,90.83583,0
29.4,67.4,25.00668,89.23968,0
30.8,96.6,25.34612,91.01696,0
27.0,75.3,23.46532,90.65539,1
29.8,47.5,23.95871,90.85945,0
25.6,58.3,23.61887,90.52055,1
27.6,60.7,23.73925,90.41622,0
26.8,76.8,23.34125,91.04234,0
33.9,80.8,24.14278,89.94123,0
30.5,62.9,23.32409,90.54434,0
28.0,70.9,23.72825,89.30326,1
31.5,70.0,23.89872,90.81075,0
33.7,85.6,24.64798,90.44953,1
28.8,84.0,23.70425,90.07157,0
31.1,66.8,21.83388,90.37549,1
25.3,75.2,22.84857,88.79049,1
26.1,70.9,24.38066,90.90476,1
28.7,83.4,23.13239,91.04016,0
30.7,67.5,23.36755,90.38076,1
27.3,63.8,23.3548,90.04768,1
33.8,62.8,23.35483,90.56661,1
23.2,56.1,23.09985,90.96473,1
30.1,71.8,25.04487,90.9543,0
31.1,59.1,23.30729,89.57041,1
31.2,66.9,23.65161,88.31476,0
26.0,80.0,22.99979,91.5545,1
24.9,65.3,23.75359,89.98154,1
28.9,66.8,22.91756,91.25472,0
35.6,70.0,24.1105,90.25175,0
29.9,62.4,23.43772,89.88346,0
34.0,83.3,23.84974,90.96244,1
26.1,57.6,23.48657,89.96487,1
34.3,90.9,23.48583,90.90567,0
21.5,73.1,24.3192,90.19569,0
36.1,69.1,22.44644,89.80447,1
30.0,90.3,23.21836,91.3107,0
35.2,68.2,24.91487,90.29415,1
34.6,62.1,23.70548,90.22552,1
34.8,77.3,22.701,90.67456,0
34.6,86.6,23.04253,90.0126,1
32.5,75.3,23.67845,89.95089,0
27.4,82.0,23.37616,90.0752,1
30.3,79.3,24.12047,92.01217,1
27.3,61.1,22.96542,90.90001,1
25.8,77.6,24.1403,89.91115,0
29.5,61.8,23.1998,90.60382,1
31.9,59.7,22.56574,89.67443,1
27.7,77.0,22.66,89.8448,1
27.0,81.8,23.98636,89.01775,0
30.0,68.0,24.72001,89.42274,1
21.6,84.9,23.10943,88.77913,0
32.5,77.0,23.66252,89.93032,1
32.3,79.6,24.21564,90.50166,1
34.3,62.3,23.14675,90.62637,1
27.4,73.6,23.17976,90.78199,0
33.9,73.2,24.03048,91.81479,0
31.8,65.0,23.90316,90.902,0
32.5,60.6,24.09572,91.36209,0
30.1,56.3,23.6275,90.98343,1
37.7,68.4,23.75653,89.94761,0
31.5,76.6,23.4782,91.66744,0
31.2,87.0,23.12037,90.79883,1
29.2,75.5,23.40265,90.77448,1
30.0,80.7,23.5408,89.99584,0
29.6,85.8,23.76046,91.06584,0
32.0,81.2,23.47622,91.86366,1
30.7,68.0,23.29851,91.99745,0
26.6,74.7,23.31604,89.59041,0
31.8,64.1,24.55359,88.86889,1
34.7,62.4,22.94871,89.9497,1
23.7,47.0,24.11381,90.94157,0
32.0,71.3,24.49105,90.08688,1
27.4,74.3,23.70967,89.94898,1
27.3,76.8,23.73688,90.91142,1
27.1,76.0,23.65744,89.30307,1
31.2,58.2,23.79703,89.25326,1
33.6,66.2,24.26748,90.88608,0
29.2,70.1,22.61861,89.54842,0
27.7,73.7,24.00463,89.67787,1
29.2,68.7,23.26833,91.05063,1
30.2,65.0,22.77042,90.43847,1
24.0,71.7,23.83933,89.03964,1
33.0,70.7,23.46599,90.83969,1
25.9,64.6,24.85004,90.08911,1
27.3,80.2,23.63625,90.9273,0
35.8,66.2,23.65316,91.5777,0
21.6,62.4,23.6842,90.12855,0
26.9,81.2,23.85537,89.01686,1
30.8,56.1,23.05353,89.60801,0
27.9,78.8,22.50826,91.36735,0
26.4,72.8,23.53973,91.14454,0
40.7,58.6,23.18817,90.47069,0
30.1,69.0,22.74026,89.34702,0
31.7,78.3,24.24801,91.16661,1
39.4,57.9,23.46249,90.14473,1
33.3,59.7,22.95209,90.38596,1
31.4,65.7,23.33166,91.00657,0
33.3,65.0,24.107,89.81012,0
23.8,70.3,22.85414,89.59203,0
30.1,77.8,23.54393,89.77441,0
32.0,73.7,24.46989,90.94309,0
32.2,67.3,25.78126,90.7919,1
28.5,70.7,22.5263,90.63318,1
27.2,59.3,23.53059,89.69892,0
25.2,62.5,23.367,90.8016,0
32.8,79.6,23.71208,90.65759,0
34.3,64.6,23.75508,89.09346,1
29.8,65.0,24.9338,90.29453,1
33.7,76.6,22.61647,91.03129,0
26.3,84.9,24.05952,90.09595,1
23.5,65.3,23.13478,89.51686,0
29.7,62.6,22.99152,89.71953,1
29.9,79.6,24.32367,91.4173,1
37.2,73.8,23.16863,90.08099,1
32.8,58.7,24.76662,90.72734,1
24.1,74.9,24.42057,89.87376,1
25.2,81.5,22.24059,90.90671,1
29.4,57.2,23.96118,90.92467,1
28.4,63.3,23.84995,90.42172,1
23.1,58.7,23.11801,90.72423,1
30.5,84.7,24.25791,89.91934,0
29.4,86.1,23.25213,90.65917,1
31.7,59.0,21.15089,90.15173,0
28.6,56.1,24.21071,90.6124,0
33.9,63.3,24.28538,89.03949,1
33.2,70.9,24.22713,91.76452,1
29.8,72.0,23.77761,89.32731,1
25.5,69.2,22.16434,90.42364,0
28.7,80.9,23.3685,90.61982,0
36.2,63.9,22.80212,90.00965,0
27.5,81.8,23.83397,91.39494,0
30.5,63.7,23.03387,90.57762,1
28.5,73.8,24.03214,90.64721,0
27.2,79.0,23.16347,91.26728,0
33.8,68.6,22.50613,90.03073,0
32.9,91.9,23.27964,91.52888,0
33.9,68.5,24.03454,89.65096,0
22.1,73.5,22.04384,90.74568,0
27.1,73.3,23.47255,90.48494,0
35.7,66.4,23.49298,90.57433,0
29.8,66.4,22.30168,90.41408,1
29.5,62.3,23.03633,90.51758,0
24.5,88.2,22.48471,92.17757,0
27.1,66.7,22.37338,89.92831,1
31.7,64.2,23.01401,90.20482,1
30.6,73.6,22.93973,90.81831,0
37.3,73.2,22.76178,91.19589,0
31.0,76.1,23.79167,91.20124,1
30.1,86.6,23.6681,88.71193,1
24.2,72.9,22.28089,91.77429,1
39.4,61.3,23.48798,89.60282,0
26.1,73.7,23.73215,91.88756,1
34.8,66.9,22.84196,89.49121,0
25.3,62.0,22.38534,91.14179,0
36.2,57.3,23.23149,91.15859,0
27.1,75.8,23.80451,92.74353,1
25.3,81.5,23.37896,89.96458,0
21.1,80.3,23.2072,90.51329,0
35.2,77.1,23.00571,89.76651,0
34.6,69.2,23.30472,89.84505,1
33.6,61.5,23.7548,90.68813,1
40.5,64.5,24.54569,89.73131,1
34.2,82.5,22.57093,90.68834,1
33.2,75.3,23.49375,90.40877,1
23.8,62.2,22.1603,91.08657,1
31.5,89.8,22.44594,89.90561,1
29.7,72.2,24.29621,88.82167,1
27.4,79.5,23.30437,91.36057,0
31.9,56.7,24.0214,91.04192,1
33.3,60.2,23.70067,89.75675,1
32.2,77.8,22.622,90.19546,1
25.9,62.4,24.01302,92.37922,0
29.8,60.3,24.01344,90.84827,1
23.2,57.0,22.69869,90.26583,1
26.3,62.4,24.59997,89.77341,0
24.3,75.6,24.90972,89.0689,1
31.8,74.6,22.98049,90.23176,0
37.8,72.0,22.63431,91.35611,0
25.7,65.1,22.77698,90.13769,0
26.8,57.7,23.2254,89.96875,1
26.2,79.7,23.32955,91.31917,0
29.1,65.9,23.32521,90.20451,1
34.3,71.5,23.00238,90.1533,0
31.7,74.5,24.55097,90.5485,0
42.7,56.2,23.37306,90.71064,1
33.6,61.4,23.36618,90.39853,1
29.9,73.2,25.38705,91.11494,0
30.5,62.1,24.56227,90.50037,0
28.4,64.7,24.4313,90.91748,1
27.8,69.4,22.95972,90.47283,1
23.9,62.5,24.07864,90.25353,1
28.3,71.1,24.36564,90.66079,0
28.2,76.4,22.62131,90.30714,1
30.6,74.2,22.96207,91.03868,0
27.1,64.4,22.26392,92.06431,1
31.9,66.7,22.562,90.64381,1
27.9,62.1,23.65114,91.2138,1
26.7,70.4,23.46754,90.88889,0
30.8,65.6,23.57868,90.24319,0
29.4,69.3,22.18008,89.13874,1
42.1,85.3,23.57072,90.92118,0
26.4,64.8,23.47319,90.80901,0
33.5,59.5,23.41058,90.18869,1
29.6,71.4,23.17334,89.45041,0
40.1,71.0,22.11282,90.14293,0
32.8,77.4,23.36211,89.76267,0
26.6,69.8,25.05956,89.51634,0
31.8,67.7,24.05155,91.13356,0
22.0,69.1,23.34357,89.73549,0
28.3,83.3,23.60001,90.93608,0
32.4,70.2,23.96731,91.06655,1
34.1,77.9,23.99859,90.52681,1
31.2,63.3,24.35623,89.84987,0
28.4,80.7,23.33374,90.85929,0
33.1,68.2,22.98232,90.46647,0
24.8,72.3,22.98709,90.62892,0
30.7,71.9,25.12496,90.94462,1
31.9,62.7,24.29625,89.47474,0
28.5,68.5,23.03148,91.22564,0
28.8,73.9,21.91603,91.01237,0
