days,travellers,daily_budget,distance_km,month,interests,category,season,total_spend
10,2,4794,513.6,11,lake food,beach,autumn,99988.8
7,3,5689,270.2,5,food,beach,monsoon,122711.40000000001
12,1,3183,495.4,4,beach lake food,mountain,summer,40177.6
8,2,1450,483.6,2,shopping beach,mountain,winter,27068.8
2,3,3670,577.9,12,hills,beach,autumn,28954.800000000003
11,6,5064,164.4,5,food shopping tea,beach,monsoon,338169.6
9,1,2111,431.6,10,wildlife shopping lake,heritage,autumn,20725.4
9,4,2396,459.0,4,wildlife heritage,nature,summer,93600.0
8,6,907,563.0,12,heritage,beach,autumn,57048.0
8,5,6084,546.0,11,wildlife tea,nature,autumn,254280.0
2,6,7275,352.6,4,sunset food,heritage,summer,95762.4
8,2,6757,355.9,6,lake,heritage,monsoon,110959.2
12,5,3535,117.0,10,food,mountain,autumn,214440.0
5,6,5072,585.5,3,adventure,beach,summer,166212.0
9,2,7717,167.9,1,tea beach,city,winter,140249.2
1,3,5057,440.3,4,sunset tea,heritage,summer,20454.6
5,4,2930,481.6,8,lake hills,city,monsoon,66305.6
7,3,3237,275.9,2,lake,mountain,winter,71287.79999999999
14,2,6035,142.5,5,sunset tea,beach,monsoon,170120.0
4,6,4013,129.6,12,hills,mountain,autumn,99422.40000000001
4,6,6828,516.8,1,sunset,mountain,winter,176275.2
6,3,7021,316.2,1,food sunset wildlife,heritage,winter,130172.40000000001
14,5,1058,72.3,6,heritage food,heritage,monsoon,75506.0
12,3,6007,435.9,1,food,beach,winter,221482.80000000002
1,5,3463,165.1,1,food shopping,nature,winter,20617.0
4,4,4542,528.3,3,wildlife lake,mountain,summer,81124.8
12,3,2706,199.6,2,shopping wildlife,heritage,winter,99811.20000000001
1,1,3451,136.2,10,lake sunset shopping,mountain,autumn,3995.8
12,4,3178,69.2,2,shopping,nature,winter,153651.2
4,2,1162,316.7,7,heritage tea beach,heritage,monsoon,11829.6
13,2,6435,281.4,9,shopping adventure,mountain,monsoon,169561.2
5,2,1829,455.8,8,sunset,beach,monsoon,21936.4
7,6,3505,289.5,8,lake shopping,heritage,monsoon,154158.0
10,1,2189,219.4,5,sunset beach,city,monsoon,22767.6
2,5,1956,171.8,11,beach wildlife,nature,autumn,22996.0
8,6,3488,181.3,1,tea lake hills,city,winter,171775.2
8,1,7415,558.2,2,adventure shopping,beach,winter,61552.8
11,4,7597,115.7,11,sunset wildlife hills,city,autumn,336119.2
14,4,3548,593.1,1,hills beach wildlife,city,winter,208177.6
10,3,4437,209.6,3,wildlife,mountain,summer,135625.2
6,5,7897,71.3,3,adventure lake food,beach,summer,238336.0
6,3,2490,164.2,1,hills,heritage,winter,46790.399999999994
6,3,7601,53.9,2,tea,city,winter,137464.8
12,3,1561,478.2,7,shopping sunset,beach,monsoon,61934.399999999994
5,5,2426,317.3,8,shopping,heritage,monsoon,66996.0
3,4,3235,215.5,1,lake,city,winter,42268.0
5,3,1067,404.0,12,lake heritage,beach,autumn,20853.0
1,6,6673,385.8,2,tea heritage,nature,winter,49297.200000000004
2,5,6958,565.1,9,hills,beach,monsoon,80882.0
2,6,3560,577.5,10,beach sunset tea,beach,autumn,56580.0
11,5,6821,414.8,7,tea lake food,nature,monsoon,383451.0
11,3,6362,494.3,6,tea adventure beach,mountain,monsoon,215877.59999999998
10,5,6570,479.6,2,adventure tea,beach,winter,338092.0
7,2,6579,305.0,3,beach tea adventure,city,summer,94546.0
11,2,4929,428.6,11,heritage,mountain,autumn,111866.8
3,3,1597,65.4,5,tea,city,monsoon,15157.800000000001
13,6,7449,459.7,1,adventure beach sunset,beach,winter,592054.8
8,4,5182,577.9,9,lake,nature,monsoon,175070.4
14,3,7289,69.3,9,sunset hills,heritage,monsoon,306969.6
3,3,7705,504.9,1,lake,nature,winter,75403.79999999999
7,2,2147,561.1,1,tea beach,nature,winter,34546.8
10,4,3695,151.2,2,beach,heritage,winter,150219.2
7,3,2185,324.4,1,lake adventure heritage,beach,winter,49777.799999999996
7,4,1166,558.2,8,adventure wildlife beach,city,monsoon,41579.2
3,3,7758,576.9,2,shopping food hills,heritage,winter,76744.79999999999
6,2,7447,94.2,8,lake heritage,heritage,monsoon,90117.6
4,6,7508,222.4,3,hills,nature,summer,185529.59999999998
5,3,7162,424.9,12,sunset adventure,mountain,autumn,112528.79999999999
10,1,5471,148.5,9,heritage,nature,monsoon,55304.0
9,3,4559,208.4,5,wildlife,heritage,monsoon,125593.79999999999
9,4,7938,33.5,6,sunset lake,city,monsoon,286304.0
6,1,4776,109.0,1,sunset,city,winter,29092.0
14,2,5425,346.2,1,shopping,beach,winter,154669.6
2,1,2324,398.8,7,adventure tea food,beach,monsoon,6243.2
5,4,6176,396.4,1,wildlife heritage,city,winter,129862.4
2,5,6700,471.4,8,lake,mountain,monsoon,76428.0
5,6,5685,260.9,5,lake,nature,monsoon,176811.59999999998
14,3,4389,178.6,2,food,beach,winter,186481.2
6,6,2224,29.0,7,food heritage,beach,monsoon,80760.0
13,2,1043,139.8,7,lake,nature,monsoon,28236.4
7,5,5316,201.2,9,beach shopping hills,heritage,monsoon,190084.0
10,4,5717,123.4,3,lake wildlife adventure,heritage,summer,230654.4
7,5,6362,31.7,7,shopping,city,monsoon,223304.0
4,5,7643,111.3,11,tea wildlife,beach,autumn,155086.0
11,4,4381,406.3,4,shopping tea wildlife,mountain,summer,199264.8
14,2,6769,385.2,11,adventure,nature,autumn,192613.6
4,4,5957,562.7,9,wildlife heritage shopping,nature,monsoon,104315.2
11,5,2795,482.9,6,shopping beach,beach,monsoon,163383.0
4,6,6884,349.3,11,beach sunset wildlife,nature,autumn,173599.2
11,6,1183,99.8,12,lake sunset,city,autumn,80473.20000000001
12,2,5112,347.2,3,adventure heritage,beach,summer,125465.6
7,4,7570,55.7,12,shopping lake,city,autumn,212851.2
11,1,5544,269.9,1,wildlife food,nature,winter,62063.6
4,5,7546,246.4,2,beach shopping heritage,nature,winter,155848.0
2,6,1204,268.1,1,heritage food,heritage,winter,20882.4
2,1,4633,182.3,5,beach,heritage,monsoon,9995.2
7,4,6420,417.8,12,adventure wildlife beach,heritage,autumn,186444.8
13,6,5424,507.7,8,tea food beach,beach,monsoon,435256.80000000005
2,6,7139,465.7,8,lake wildlife,mountain,monsoon,96844.79999999999
7,3,4130,384.1,2,shopping food sunset,city,winter,91339.20000000001
10,1,5714,332.2,7,lake heritage,beach,monsoon,58468.8
3,6,3822,38.0,5,hills tea,heritage,monsoon,69708.0
11,6,7079,439.3,6,adventure,nature,monsoon,477757.19999999995
5,4,1660,336.1,4,shopping lake hills,beach,summer,38577.6
12,6,2629,177.0,3,wildlife hills lake,beach,summer,193536.0
9,1,1496,210.1,12,hills adventure heritage,city,autumn,14304.4
8,4,5855,562.7,7,shopping wildlife heritage,beach,monsoon,196363.2
3,1,2475,382.1,5,heritage food,beach,monsoon,8953.4
7,6,3083,296.0,1,hills,beach,winter,136590.0
12,5,6823,380.1,10,heritage adventure food,heritage,autumn,416982.0
1,6,3393,260.0,6,food,city,monsoon,26598.0
11,4,1849,292.7,5,tea,beach,monsoon,86039.2
7,1,950,188.4,9,sunset tea,heritage,monsoon,7403.6
11,1,2432,275.1,2,sunset wildlife,heritage,winter,27852.4
10,3,7385,417.6,7,food shopping,mountain,monsoon,226561.19999999998
7,5,4750,43.2,11,lake adventure,beach,autumn,167114.0
5,1,7962,481.1,6,shopping heritage sunset,nature,monsoon,41734.4
9,6,2348,184.1,1,heritage wildlife,beach,winter,131210.40000000002
2,2,3330,415.9,3,beach,beach,summer,16647.2
9,3,1975,392.8,1,heritage,nature,winter,58038.600000000006
2,2,3668,398.5,7,lake wildlife,city,monsoon,17860.0
10,3,4855,372.7,5,tea lake,city,monsoon,150122.40000000002
9,3,6618,576.3,2,wildlife,heritage,winter,185601.59999999998
2,1,3450,314.8,9,lake hills shopping,mountain,monsoon,8159.2
11,4,6355,444.7,3,hills beach food,mountain,summer,286735.2
6,5,5308,429.2,5,food beach heritage,heritage,monsoon,167824.0
12,6,2901,157.0,12,hills,beach,autumn,212640.0
1,2,7367,184.3,1,food heritage,nature,winter,16208.4
3,6,3926,265.9,3,beach food,heritage,summer,77049.6
7,6,1887,181.1,4,lake adventure,city,summer,83600.4
3,6,7731,232.7,7,tea,beach,monsoon,144742.8
5,3,7376,246.8,3,tea,mountain,summer,113601.59999999999
10,6,1156,370.2,12,food sunset beach,mountain,autumn,78244.79999999999
3,4,7297,147.5,1,lake shopping heritage,nature,winter,89924.0
10,1,7621,486.5,12,tea adventure,beach,autumn,78156.0
2,2,6769,273.8,7,wildlife adventure,city,monsoon,29266.4
3,5,2635,429.6,1,hills wildlife sunset,city,winter,48117.0
9,1,5345,67.2,2,heritage wildlife hills,mountain,winter,48373.8
12,3,4675,292.6,2,lake wildlife hills,nature,winter,171811.2
3,5,5265,36.4,4,sunset,nature,summer,79703.0
5,1,5238,412.0,4,wildlife food,beach,summer,27838.0
13,3,5402,219.4,8,heritage,city,monsoon,213310.80000000002
14,2,4500,570.6,4,beach,heritage,summer,130564.8
9,4,5771,208.0,9,heritage,mountain,monsoon,211084.0
7,2,4591,347.0,4,adventure heritage,nature,summer,67050.0
5,6,918,169.3,4,adventure shopping,mountain,summer,31603.199999999997
9,1,1054,379.7,4,adventure,mountain,summer,11004.8
9,6,7698,290.9,4,heritage beach food,mountain,summer,422673.60000000003
5,5,7346,235.0,11,tea,beach,autumn,188350.0
1,6,5016,138.1,3,adventure heritage,city,summer,33410.399999999994
3,6,2057,84.7,4,tea lake hills,heritage,summer,39058.8
14,2,6426,89.5,12,lake wildlife beach,city,autumn,180644.0
6,6,1831,599.4,8,tea beach,beach,monsoon,80301.6
7,4,3516,259.1,3,sunset food,heritage,summer,102593.6
7,6,3174,21.1,11,shopping adventure tea,nature,autumn,133814.40000000002
11,6,889,572.7,3,tea food,heritage,summer,72418.79999999999
1,4,6610,31.6,2,wildlife hills food,city,winter,26945.6
2,3,4470,262.8,6,wildlife beach food,mountain,monsoon,29973.600000000002
4,1,3077,436.1,9,lake shopping beach,beach,monsoon,14052.4
7,1,4451,550.5,3,wildlife tea heritage,beach,summer,33359.0
10,3,800,433.5,10,hills food,nature,autumn,29202.0
7,5,3946,288.9,2,adventure,beach,winter,143888.0
7,4,4540,585.2,10,tea,beach,autumn,136483.2
14,3,3245,42.8,2,lake heritage,beach,winter,136803.59999999998
3,2,6778,592.4,6,wildlife,mountain,monsoon,45407.2
9,4,2598,512.6,8,adventure heritage shopping,beach,monsoon,101729.6
8,4,1792,558.8,4,heritage tea sunset,nature,summer,66284.8
7,6,4598,167.8,8,food,heritage,monsoon,197143.19999999998
12,5,7188,102.6,9,hills adventure heritage,mountain,monsoon,433332.0
4,4,3502,404.7,8,adventure,beach,monsoon,62507.2
14,6,1135,319.2,5,tea,nature,monsoon,103000.79999999999
5,3,7783,323.4,10,beach wildlife adventure,beach,autumn,120625.79999999999
8,6,3998,556.3,9,food hills sunset,heritage,monsoon,205255.19999999998
8,3,2045,379.6,4,wildlife beach tea,mountain,summer,53635.200000000004
12,1,5232,200.4,9,shopping adventure,nature,monsoon,63585.6
7,3,3101,252.0,12,lake,mountain,autumn,68145.0
4,1,7552,97.4,10,beach adventure hills,mountain,autumn,30597.6
1,1,2916,131.5,9,food sunset tea,beach,monsoon,3442.0
6,6,4760,103.1,10,tea beach,nature,autumn,173834.40000000002
12,5,4711,490.0,10,food wildlife,beach,autumn,292460.0
1,2,2545,428.8,4,wildlife lake shopping,heritage,summer,8520.4
13,6,4394,327.6,9,tea lake wildlife,mountain,monsoon,350594.4
8,1,1585,237.1,3,hills lake,nature,summer,13628.4
2,2,5434,407.7,5,hills heritage,nature,monsoon,24997.6
5,5,6259,491.5,12,hills lake,heritage,autumn,166305.0
8,2,7640,531.1,4,wildlife shopping,heritage,summer,126488.8
5,5,3145,337.3,11,shopping wildlife,nature,autumn,85371.0
2,6,2853,495.5,6,tea wildlife,city,monsoon,46128.0
10,1,4751,316.6,3,adventure,mountain,summer,48776.4
10,1,5787,295.2,2,wildlife shopping,heritage,winter,59050.8
2,6,7945,522.0,7,wildlife adventure tea,mountain,monsoon,107868.0
4,4,980,244.1,6,shopping food,heritage,monsoon,19585.6
4,4,2515,249.6,7,tea,nature,monsoon,44233.6
10,3,2689,196.8,1,food,city,winter,83031.6
11,3,2638,320.8,4,lake heritage tea,mountain,summer,90903.6
11,5,4138,336.0,1,food,nature,winter,234310.0
14,4,7084,403.1,4,hills shopping food,beach,summer,403153.6
11,1,1023,269.7,12,tea,heritage,autumn,12331.8
5,4,6674,146.3,2,tea hills shopping,beach,winter,135820.8
2,5,5247,522.8,9,shopping beach adventure,nature,monsoon,62926.0
9,1,5229,220.7,1,shopping beach hills,beach,winter,47943.8
13,3,5683,555.3,7,adventure,mountain,monsoon,228300.59999999998
14,5,1630,140.3,12,tea wildlife beach,nature,autumn,116906.0
4,4,6176,344.8,5,shopping heritage lake,mountain,monsoon,104332.8
4,1,2586,331.2,3,sunset beach tea,mountain,summer,11668.8
1,1,4519,500.6,7,lake heritage,beach,monsoon,6521.4
2,4,5673,100.5,4,shopping,heritage,summer,46992.0
8,3,5148,547.8,11,adventure,heritage,autumn,130125.59999999999
8,6,3126,328.2,11,lake,nature,autumn,157924.8
6,4,3651,359.9,8,hills sunset,beach,monsoon,93382.4
5,6,4230,315.9,8,hills beach,beach,monsoon,134481.59999999998
12,2,1097,40.9,8,lake food beach,heritage,monsoon,26655.2
7,3,6027,308.3,9,lake wildlife tea,city,monsoon,130266.59999999999
12,1,1519,172.9,6,food beach,city,monsoon,18919.6
14,4,4101,218.8,12,heritage sunset,nature,autumn,233156.8
5,2,5515,396.5,5,hills sunset wildlife,nature,monsoon,58322.0
3,3,1378,308.7,1,hills food,beach,winter,16106.400000000001
14,3,7967,74.1,9,wildlife adventure sunset,beach,monsoon,335503.19999999995
9,2,3516,62.4,8,heritage lake adventure,heritage,monsoon,63787.2
5,1,913,127.7,12,wildlife sunset,nature,autumn,5075.8
9,4,5542,130.7,5,food lake,nature,monsoon,201603.2
8,6,4814,372.8,6,food,mountain,monsoon,240019.19999999998
13,2,5410,123.1,7,wildlife,mountain,monsoon,141644.8
4,3,6207,531.4,5,hills adventure lake,city,monsoon,80860.79999999999
14,2,4224,141.7,10,adventure lake,city,autumn,119405.6
14,5,6752,72.9,6,sunset adventure shopping,heritage,monsoon,474098.0
3,3,3465,527.9,10,adventure heritage tea,mountain,autumn,37519.8
3,6,4725,191.3,6,wildlife adventure sunset,heritage,monsoon,89641.20000000001
8,2,1941,266.7,3,sunset,mountain,summer,33189.6
1,1,5263,576.2,12,hills,nature,autumn,7567.8
5,4,2683,567.7,7,hills,beach,monsoon,62743.2
7,4,5816,434.7,9,beach hills wildlife,heritage,monsoon,169803.2
14,6,6567,60.0,8,beach tea food,beach,monsoon,553068.0
14,6,6984,364.1,5,tea shopping hills,heritage,monsoon,595394.3999999999
3,6,7489,593.7,12,tea,heritage,autumn,149050.8
13,4,1680,569.2,5,tea beach hills,beach,monsoon,96467.2
2,3,1793,81.5,12,wildlife shopping hills,nature,autumn,11736.0
11,3,7468,249.7,6,food,mountain,monsoon,249440.40000000002
12,1,3541,203.0,1,hills food,nature,winter,43304.0
13,3,987,95.2,1,beach adventure heritage,beach,winter,39635.399999999994
4,3,2866,423.0,12,sunset lake,heritage,autumn,39468.0
13,1,6820,178.8,7,tea sunset heritage,nature,monsoon,89375.2
2,2,3355,220.0,5,adventure sunset,mountain,monsoon,15180.0
8,4,1352,72.4,10,heritage wildlife,city,autumn,44422.4
7,3,5999,308.8,8,beach wildlife,heritage,monsoon,129684.59999999999
5,6,2201,111.7,8,lake tea hills,heritage,monsoon,68710.79999999999
1,3,3340,270.6,9,hills heritage food,beach,monsoon,13267.199999999999
11,6,828,103.1,3,food heritage sunset,nature,summer,57122.399999999994
5,4,5134,573.2,2,beach wildlife,heritage,winter,111851.2
10,1,4005,104.1,9,hills,city,monsoon,40466.4
6,2,7042,322.7,1,adventure heritage,heritage,winter,87085.6
6,5,3207,134.2,9,adventure,beach,monsoon,98894.0
13,4,2273,64.3,2,adventure lake sunset,heritage,winter,119224.8
2,2,1995,137.3,4,wildlife sunset,beach,summer,9078.4
11,4,2241,51.8,9,wildlife sunset hills,mountain,monsoon,99432.8
11,6,4047,100.9,8,sunset shopping,city,monsoon,269523.6
6,3,1427,306.2,10,hills lake adventure,city,autumn,29360.399999999998
4,1,3697,398.1,8,sunset heritage food,city,monsoon,16380.4
1,2,6953,70.7,1,adventure beach tea,mountain,winter,14471.6
14,6,6327,275.8,11,hills beach,heritage,autumn,538087.2
14,5,5388,357.1,3,heritage hills,heritage,summer,384302.0
4,6,7230,155.9,2,tea,mountain,winter,177261.59999999998
1,6,6417,235.8,11,sunset lake,city,autumn,44161.2
2,1,5498,61.7,3,sunset,city,summer,11242.8
1,2,7014,147.7,7,tea wildlife beach,beach,monsoon,15209.6
12,1,1695,290.7,6,adventure,heritage,monsoon,21502.8
13,1,6691,594.5,10,heritage tea,nature,autumn,89361.0
3,6,2926,597.8,1,adventure hills,heritage,winter,67015.20000000001
11,6,6078,588.2,2,lake,nature,winter,415264.80000000005
3,1,7375,265.4,5,shopping beach,mountain,monsoon,23186.6
6,5,4371,66.8,6,wildlife,beach,monsoon,132466.0
9,4,1438,207.7,10,beach,nature,autumn,55091.2
11,1,3465,157.9,8,tea food,city,monsoon,38746.6
13,6,3729,28.2,2,adventure,city,winter,291538.80000000005
1,6,7544,75.2,12,wildlife,mountain,autumn,47068.8
3,4,7586,282.9,6,shopping food,city,monsoon,95558.4
4,5,4892,217.0,12,tea lake,mountain,autumn,102180.0
5,3,7644,124.6,12,heritage,nature,autumn,116155.20000000001
14,5,3941,435.3,1,adventure tea,mountain,winter,284576.0
11,3,3760,227.1,7,adventure sunset wildlife,nature,monsoon,126805.20000000001
5,6,6822,514.1,6,beach heritage food,nature,monsoon,216998.40000000002
14,1,5605,159.8,6,food,heritage,monsoon,79109.2
7,2,4561,332.3,4,tea heritage beach,nature,summer,66512.4
8,6,4088,126.8,7,beach wildlife heritage,nature,monsoon,199267.19999999998
7,2,5880,307.3,6,sunset,heritage,monsoon,84778.4
3,2,6224,108.4,3,beach hills,nature,summer,38211.2
14,5,4332,113.7,4,sunset adventure,nature,summer,305514.0
1,2,1027,375.1,2,adventure sunset,beach,winter,5054.8
3,4,1533,173.0,11,lake tea food,city,autumn,21164.0
4,2,1837,120.0,9,lake shopping,beach,monsoon,15656.0
4,2,4127,559.3,5,shopping lake,city,monsoon,37490.4
2,6,5222,44.9,5,lake shopping food,heritage,monsoon,63741.600000000006
1,2,6587,347.8,1,food,city,winter,15956.4
10,1,2474,338.0,4,tea sunset,beach,summer,26092.0
14,5,6463,165.4,12,adventure beach,mountain,autumn,455718.0
2,6,5595,282.6,1,tea,beach,winter,73922.4
5,1,1171,70.9,2,food,nature,winter,6138.6
8,5,3328,438.3,11,shopping heritage,city,autumn,141886.0
13,4,2979,148.6,7,beach hills,heritage,monsoon,157285.6
10,5,7183,132.2,1,sunset wildlife,heritage,winter,361794.0
11,1,7432,202.6,6,lake,city,monsoon,82562.4
9,6,6698,543.4,9,heritage,beach,monsoon,374733.6
6,4,4601,482.0,5,food,heritage,monsoon,118136.0
3,6,4348,569.2,5,hills wildlife heritage,mountain,monsoon,91924.79999999999
13,3,3042,398.1,8,heritage,heritage,monsoon,123415.20000000001
12,6,6364,404.5,8,beach tea adventure,heritage,monsoon,467916.0
1,4,1421,298.4,11,shopping sunset,heritage,autumn,10458.4
11,1,2752,545.0,3,heritage beach tea,nature,summer,32452.0
2,6,1773,316.3,4,hills heritage sunset,heritage,summer,28867.199999999997
11,5,4358,225.9,2,hills,nature,winter,244208.0
12,2,2958,391.4,8,tea heritage,heritage,monsoon,74123.2
2,4,2221,336.8,7,wildlife,nature,monsoon,23156.8
