date,month,year,slug,category,avg_daily_cost,visitors
2025-01-01,1,2025,chattogram,beach,2500,897
2025-02-01,2,2025,chattogram,beach,2500,774
2025-03-01,3,2025,chattogram,beach,2500,1406
2025-04-01,4,2025,chattogram,beach,2500,1793
2025-05-01,5,2025,chattogram,beach,2500,1776
2025-06-01,6,2025,chattogram,beach,2500,1890
2025-07-01,7,2025,chattogram,beach,2500,1896
2025-08-01,8,2025,chattogram,beach,2500,1242
2025-09-01,9,2025,chattogram,beach,2500,1265
2025-10-01,10,2025,chattogram,beach,2500,2176
2025-11-01,11,2025,chattogram,beach,2500,3318
2025-12-01,12,2025,chattogram,beach,2500,3365
2022-01-01,1,2022,coxs-bazar,beach,2000,904
2022-02-01,2,2022,coxs-bazar,beach,2000,593
2022-03-01,3,2022,coxs-bazar,beach,2000,1056
2022-04-01,4,2022,coxs-bazar,beach,2000,2225
2022-05-01,5,2022,coxs-bazar,beach,2000,2397
2022-06-01,6,2022,coxs-bazar,beach,2000,1591
2022-07-01,7,2022,coxs-bazar,beach,2000,1786
2022-08-01,8,2022,coxs-bazar,beach,2000,1519
2022-09-01,9,2022,coxs-bazar,beach,2000,1489
2022-10-01,10,2022,coxs-bazar,beach,2000,2264
2022-11-01,11,2022,coxs-bazar,beach,2000,3672
2022-12-01,12,2022,coxs-bazar,beach,2000,3370
2023-01-01,1,2023,coxs-bazar,beach,2000,882
2023-02-01,2,2023,coxs-bazar,beach,2000,977
2023-03-01,3,2023,coxs-bazar,beach,2000,1150
2023-04-01,4,2023,coxs-bazar,beach,2000,1908
2023-05-01,5,2023,coxs-bazar,beach,2000,1952
2023-06-01,6,2023,coxs-bazar,beach,2000,1807
2023-07-01,7,2023,coxs-bazar,beach,2000,1558
2023-08-01,8,2023,coxs-bazar,beach,2000,1252
2023-09-01,9,2023,coxs-bazar,beach,2000,1760
2023-10-01,10,2023,coxs-bazar,beach,2000,2119
2023-11-01,11,2023,coxs-bazar,beach,2000,2605
2023-12-01,12,2023,coxs-bazar,beach,2000,3275
2024-01-01,1,2024,coxs-bazar,beach,2000,894
2024-02-01,2,2024,coxs-bazar,beach,2000,655
2024-03-01,3,2024,coxs-bazar,beach,2000,973
2024-04-01,4,2024,coxs-bazar,beach,2000,1822
2024-05-01,5,2024,coxs-bazar,beach,2000,2448
2024-06-01,6,2024,coxs-bazar,beach,2000,1641
2024-07-01,7,2024,coxs-bazar,beach,2000,1755
2024-08-01,8,2024,coxs-bazar,beach,2000,1025
2024-09-01,9,2024,coxs-bazar,beach,2000,1636
2024-10-01,10,2024,coxs-bazar,beach,2000,2280
2024-11-01,11,2024,coxs-bazar,beach,2000,3294
2024-12-01,12,2024,coxs-bazar,beach,2000,4512
2025-01-01,1,2025,coxs-bazar,beach,2000,882
2025-02-01,2,2025,coxs-bazar,beach,2000,797
2025-03-01,3,2025,coxs-bazar,beach,2000,1229
2025-04-01,4,2025,coxs-bazar,beach,2000,1707
2025-05-01,5,2025,coxs-bazar,beach,2000,2649
2025-06-01,6,2025,coxs-bazar,beach,2000,1962
2025-07-01,7,2025,coxs-bazar,beach,2000,1532
2025-08-01,8,2025,coxs-bazar,beach,2000,1444
2025-09-01,9,2025,coxs-bazar,beach,2000,1581
2025-10-01,10,2025,coxs-bazar,beach,2000,2233
2025-11-01,11,2025,coxs-bazar,beach,2000,2660
2025-12-01,12,2025,coxs-bazar,beach,2000,4005
2022-01-01,1,2022,dhaka,city,3000,881
2022-02-01,2,2022,dhaka,city,3000,567
2022-03-01,3,2022,dhaka,city,3000,930
2022-04-01,4,2022,dhaka,city,3000,1385
2022-05-01,5,2022,dhaka,city,3000,1851
2022-06-01,6,2022,dhaka,city,3000,1342
2022-07-01,7,2022,dhaka,city,3000,1087
2022-08-01,8,2022,dhaka,city,3000,1059
2022-09-01,9,2022,dhaka,city,3000,1404
2022-10-01,10,2022,dhaka,city,3000,2096
2022-11-01,11,2022,dhaka,city,3000,2344
2022-12-01,12,2022,dhaka,city,3000,3382
2023-01-01,1,2023,dhaka,city,3000,731
2023-02-01,2,2023,dhaka,city,3000,774
2023-03-01,3,2023,dhaka,city,3000,762
2023-04-01,4,2023,dhaka,city,3000,2305
2023-05-01,5,2023,dhaka,city,3000,1920
2023-06-01,6,2023,dhaka,city,3000,1238
2023-07-01,7,2023,dhaka,city,3000,1098
2023-08-01,8,2023,dhaka,city,3000,1197
2023-09-01,9,2023,dhaka,city,3000,1392
2023-10-01,10,2023,dhaka,city,3000,2163
2023-11-01,11,2023,dhaka,city,3000,2687
2023-12-01,12,2023,dhaka,city,3000,2493
2024-01-01,1,2024,dhaka,city,3000,701
2024-02-01,2,2024,dhaka,city,3000,473
2024-03-01,3,2024,dhaka,city,3000,803
2024-04-01,4,2024,dhaka,city,3000,1740
2024-05-01,5,2024,dhaka,city,3000,1567
2024-06-01,6,2024,dhaka,city,3000,1899
2024-07-01,7,2024,dhaka,city,3000,1455
2024-08-01,8,2024,dhaka,city,3000,934
2024-09-01,9,2024,dhaka,city,3000,1364
2024-10-01,10,2024,dhaka,city,3000,2101
2024-11-01,11,2024,dhaka,city,3000,2460
2024-12-01,12,2024,dhaka,city,3000,3069
2025-01-01,1,2025,dhaka,city,3000,692
2025-02-01,2,2025,dhaka,city,3000,624
2025-03-01,3,2025,dhaka,city,3000,955
2025-04-01,4,2025,dhaka,city,3000,1705
2025-05-01,5,2025,dhaka,city,3000,2050
2025-06-01,6,2025,dhaka,city,3000,1495
2025-07-01,7,2025,dhaka,city,3000,1410
2025-08-01,8,2025,dhaka,city,3000,1183
2025-09-01,9,2025,dhaka,city,3000,1090
2025-10-01,10,2025,dhaka,city,3000,1804
2025-11-01,11,2025,dhaka,city,3000,2998
2025-12-01,12,2025,dhaka,city,3000,3469
2022-01-01,1,2022,kuakata,beach,1800,961
2022-02-01,2,2022,kuakata,beach,1800,761
2022-03-01,3,2022,kuakata,beach,1800,1240
2022-04-01,4,2022,kuakata,beach,1800,2196
2022-05-01,5,2022,kuakata,beach,1800,2054
2022-06-01,6,2022,kuakata,beach,1800,1814
2022-07-01,7,2022,kuakata,beach,1800,1331
2022-08-01,8,2022,kuakata,beach,1800,1277
2022-09-01,9,2022,kuakata,beach,1800,1580
2022-10-01,10,2022,kuakata,beach,1800,3042
2022-11-01,11,2022,kuakata,beach,1800,2443
2022-12-01,12,2022,kuakata,beach,1800,3449
2023-01-01,1,2023,kuakata,beach,1800,976
2023-02-01,2,2023,kuakata,beach,1800,853
2023-03-01,3,2023,kuakata,beach,1800,1245
2023-04-01,4,2023,kuakata,beach,1800,1797
2023-05-01,5,2023,kuakata,beach,1800,2436
2023-06-01,6,2023,kuakata,beach,1800,1702
2023-07-01,7,2023,kuakata,beach,1800,1843
2023-08-01,8,2023,kuakata,beach,1800,1327
2023-09-01,9,2023,kuakata,beach,1800,1578
2023-10-01,10,2023,kuakata,beach,1800,2532
2023-11-01,11,2023,kuakata,beach,1800,2691
2023-12-01,12,2023,kuakata,beach,1800,3830
2024-01-01,1,2024,kuakata,beach,1800,788
2024-02-01,2,2024,kuakata,beach,1800,804
2024-03-01,3,2024,kuakata,beach,1800,1031
2024-04-01,4,2024,kuakata,beach,1800,2338
2024-05-01,5,2024,kuakata,beach,1800,2486
2024-06-01,6,2024,kuakata,beach,1800,2269
2024-07-01,7,2024,kuakata,beach,1800,1204
2024-08-01,8,2024,kuakata,beach,1800,1591
2024-09-01,9,2024,kuakata,beach,1800,1746
2024-10-01,10,2024,kuakata,beach,1800,2563
2024-11-01,11,2024,kuakata,beach,1800,4105
2024-12-01,12,2024,kuakata,beach,1800,3033
2025-01-01,1,2025,kuakata,beach,1800,923
2025-02-01,2,2025,kuakata,beach,1800,914
2025-03-01,3,2025,kuakata,beach,1800,1210
2025-04-01,4,2025,kuakata,beach,1800,1935
2025-05-01,5,2025,kuakata,beach,1800,2675
2025-06-01,6,2025,kuakata,beach,1800,1712
2025-07-01,7,2025,kuakata,beach,1800,1511
2025-08-01,8,2025,kuakata,beach,1800,1246
2025-09-01,9,2025,kuakata,beach,1800,1787
2025-10-01,10,2025,kuakata,beach,1800,2569
2025-11-01,11,2025,kuakata,beach,1800,4260
2025-12-01,12,2025,kuakata,beach,1800,3985
2022-01-01,1,2022,paharpur,heritage,1500,552
2022-02-01,2,2022,paharpur,heritage,1500,635
2022-03-01,3,2022,paharpur,heritage,1500,723
2022-04-01,4,2022,paharpur,heritage,1500,1436
2022-05-01,5,2022,paharpur,heritage,1500,1846
2022-06-01,6,2022,paharpur,heritage,1500,1158
2022-07-01,7,2022,paharpur,heritage,1500,1087
2022-08-01,8,2022,paharpur,heritage,1500,913
2022-09-01,9,2022,paharpur,heritage,1500,1174
2022-10-01,10,2022,paharpur,heritage,1500,1799
2022-11-01,11,2022,paharpur,heritage,1500,2281
2022-12-01,12,2022,paharpur,heritage,1500,3239
2023-01-01,1,2023,paharpur,heritage,1500,704
2023-02-01,2,2023,paharpur,heritage,1500,608
2023-03-01,3,2023,paharpur,heritage,1500,941
2023-04-01,4,2023,paharpur,heritage,1500,1856
2023-05-01,5,2023,paharpur,heritage,1500,2146
2023-06-01,6,2023,paharpur,heritage,1500,1163
2023-07-01,7,2023,paharpur,heritage,1500,1230
2023-08-01,8,2023,paharpur,heritage,1500,1086
2023-09-01,9,2023,paharpur,heritage,1500,1296
2023-10-01,10,2023,paharpur,heritage,1500,1784
2023-11-01,11,2023,paharpur,heritage,1500,2330
2023-12-01,12,2023,paharpur,heritage,1500,2373
2024-01-01,1,2024,paharpur,heritage,1500,631
2024-02-01,2,2024,paharpur,heritage,1500,502
2024-03-01,3,2024,paharpur,heritage,1500,961
2024-04-01,4,2024,paharpur,heritage,1500,1395
2024-05-01,5,2024,paharpur,heritage,1500,1622
2024-06-01,6,2024,paharpur,heritage,1500,1367
2024-07-01,7,2024,paharpur,heritage,1500,1169
2024-08-01,8,2024,paharpur,heritage,1500,911
2024-09-01,9,2024,paharpur,heritage,1500,1208
2024-10-01,10,2024,paharpur,heritage,1500,1683
2024-11-01,11,2024,paharpur,heritage,1500,2455
2024-12-01,12,2024,paharpur,heritage,1500,2631
2025-01-01,1,2025,paharpur,heritage,1500,677
2025-02-01,2,2025,paharpur,heritage,1500,551
2025-03-01,3,2025,paharpur,heritage,1500,761
2025-04-01,4,2025,paharpur,heritage,1500,1531
2025-05-01,5,2025,paharpur,heritage,1500,1503
2025-06-01,6,2025,paharpur,heritage,1500,1558
2025-07-01,7,2025,paharpur,heritage,1500,1093
2025-08-01,8,2025,paharpur,heritage,1500,1270
2025-09-01,9,2025,paharpur,heritage,1500,1251
2025-10-01,10,2025,paharpur,heritage,1500,1794
2025-11-01,11,2025,paharpur,heritage,1500,2148
2025-12-01,12,2025,paharpur,heritage,1500,2809
2022-01-01,1,2022,rajshahi,heritage,1800,697
2022-02-01,2,2022,rajshahi,heritage,1800,608
2022-03-01,3,2022,rajshahi,heritage,1800,912
2022-04-01,4,2022,rajshahi,heritage,1800,1506
2022-05-01,5,2022,rajshahi,heritage,1800,2082
2022-06-01,6,2022,rajshahi,heritage,1800,1203
2022-07-01,7,2022,rajshahi,heritage,1800,1127
2022-08-01,8,2022,rajshahi,heritage,1800,1066
2022-09-01,9,2022,rajshahi,heritage,1800,1051
2022-10-01,10,2022,rajshahi,heritage,1800,1824
2022-11-01,11,2022,rajshahi,heritage,1800,2777
2022-12-01,12,2022,rajshahi,heritage,1800,2673
2023-01-01,1,2023,rajshahi,heritage,1800,623
2023-02-01,2,2023,rajshahi,heritage,1800,661
2023-03-01,3,2023,rajshahi,heritage,1800,719
2023-04-01,4,2023,rajshahi,heritage,1800,1427
2023-05-01,5,2023,rajshahi,heritage,1800,2062
2023-06-01,6,2023,rajshahi,heritage,1800,1203
2023-07-01,7,2023,rajshahi,heritage,1800,1191
2023-08-01,8,2023,rajshahi,heritage,1800,981
2023-09-01,9,2023,rajshahi,heritage,1800,1394
2023-10-01,10,2023,rajshahi,heritage,1800,1530
2023-11-01,11,2023,rajshahi,heritage,1800,2164
2023-12-01,12,2023,rajshahi,heritage,1800,2539
2024-01-01,1,2024,rajshahi,heritage,1800,690
2024-02-01,2,2024,rajshahi,heritage,1800,617
2024-03-01,3,2024,rajshahi,heritage,1800,868
2024-04-01,4,2024,rajshahi,heritage,1800,1760
2024-05-01,5,2024,rajshahi,heritage,1800,1967
2024-06-01,6,2024,rajshahi,heritage,1800,1131
2024-07-01,7,2024,rajshahi,heritage,1800,971
2024-08-01,8,2024,rajshahi,heritage,1800,928
2024-09-01,9,2024,rajshahi,heritage,1800,1084
2024-10-01,10,2024,rajshahi,heritage,1800,1722
2024-11-01,11,2024,rajshahi,heritage,1800,2619
2024-12-01,12,2024,rajshahi,heritage,1800,2447
2025-01-01,1,2025,rajshahi,heritage,1800,753
2025-02-01,2,2025,rajshahi,heritage,1800,662
2025-03-01,3,2025,rajshahi,heritage,1800,828
2025-04-01,4,2025,rajshahi,heritage,1800,1394
2025-05-01,5,2025,rajshahi,heritage,1800,2118
2025-06-01,6,2025,rajshahi,heritage,1800,1192
2025-07-01,7,2025,rajshahi,heritage,1800,1223
2025-08-01,8,2025,rajshahi,heritage,1800,1022
2025-09-01,9,2025,rajshahi,heritage,1800,1349
2025-10-01,10,2025,rajshahi,heritage,1800,1894
2025-11-01,11,2025,rajshahi,heritage,1800,2315
2025-12-01,12,2025,rajshahi,heritage,1800,2996
2022-01-01,1,2022,rangamati,nature,2500,573
2022-02-01,2,2022,rangamati,nature,2500,561
2022-03-01,3,2022,rangamati,nature,2500,762
2022-04-01,4,2022,rangamati,nature,2500,1355
2022-05-01,5,2022,rangamati,nature,2500,1381
2022-06-01,6,2022,rangamati,nature,2500,1199
2022-07-01,7,2022,rangamati,nature,2500,930
2022-08-01,8,2022,rangamati,nature,2500,959
2022-09-01,9,2022,rangamati,nature,2500,1395
2022-10-01,10,2022,rangamati,nature,2500,1605
2022-11-01,11,2022,rangamati,nature,2500,2344
2022-12-01,12,2022,rangamati,nature,2500,2708
2023-01-01,1,2023,rangamati,nature,2500,522
2023-02-01,2,2023,rangamati,nature,2500,571
2023-03-01,3,2023,rangamati,nature,2500,722
2023-04-01,4,2023,rangamati,nature,2500,1280
2023-05-01,5,2023,rangamati,nature,2500,1820
2023-06-01,6,2023,rangamati,nature,2500,1122
2023-07-01,7,2023,rangamati,nature,2500,987
2023-08-01,8,2023,rangamati,nature,2500,985
2023-09-01,9,2023,rangamati,nature,2500,1225
2023-10-01,10,2023,rangamati,nature,2500,1663
2023-11-01,11,2023,rangamati,nature,2500,2275
2023-12-01,12,2023,rangamati,nature,2500,2024
2024-01-01,1,2024,rangamati,nature,2500,592
2024-02-01,2,2024,rangamati,nature,2500,553
2024-03-01,3,2024,rangamati,nature,2500,677
2024-04-01,4,2024,rangamati,nature,2500,1458
2024-05-01,5,2024,rangamati,nature,2500,1706
2024-06-01,6,2024,rangamati,nature,2500,1241
2024-07-01,7,2024,rangamati,nature,2500,1210
2024-08-01,8,2024,rangamati,nature,2500,1047
2024-09-01,9,2024,rangamati,nature,2500,907
2024-10-01,10,2024,rangamati,nature,2500,1525
2024-11-01,11,2024,rangamati,nature,2500,2240
2024-12-01,12,2024,rangamati,nature,2500,2314
2025-01-01,1,2025,rangamati,nature,2500,761
2025-02-01,2,2025,rangamati,nature,2500,599
2025-03-01,3,2025,rangamati,nature,2500,679
2025-04-01,4,2025,rangamati,nature,2500,1232
2025-05-01,5,2025,rangamati,nature,2500,1417
2025-06-01,6,2025,rangamati,nature,2500,1254
2025-07-01,7,2025,rangamati,nature,2500,976
2025-08-01,8,2025,rangamati,nature,2500,829
2025-09-01,9,2025,rangamati,nature,2500,902
2025-10-01,10,2025,rangamati,nature,2500,1835
2025-11-01,11,2025,rangamati,nature,2500,1919
2025-12-01,12,2025,rangamati,nature,2500,2152
2022-01-01,1,2022,sreemangal,nature,2000,478
2022-02-01,2,2022,sreemangal,nature,2000,551
2022-03-01,3,2022,sreemangal,nature,2000,771
2022-04-01,4,2022,sreemangal,nature,2000,1473
2022-05-01,5,2022,sreemangal,nature,2000,1960
2022-06-01,6,2022,sreemangal,nature,2000,1230
2022-07-01,7,2022,sreemangal,nature,2000,1007
2022-08-01,8,2022,sreemangal,nature,2000,742
2022-09-01,9,2022,sreemangal,nature,2000,1063
2022-10-01,10,2022,sreemangal,nature,2000,1721
2022-11-01,11,2022,sreemangal,nature,2000,2165
2022-12-01,12,2022,sreemangal,nature,2000,1899
2023-01-01,1,2023,sreemangal,nature,2000,695
2023-02-01,2,2023,sreemangal,nature,2000,565
2023-03-01,3,2023,sreemangal,nature,2000,715
2023-04-01,4,2023,sreemangal,nature,2000,1304
2023-05-01,5,2023,sreemangal,nature,2000,1310
2023-06-01,6,2023,sreemangal,nature,2000,1247
2023-07-01,7,2023,sreemangal,nature,2000,1007
2023-08-01,8,2023,sreemangal,nature,2000,785
2023-09-01,9,2023,sreemangal,nature,2000,1330
2023-10-01,10,2023,sreemangal,nature,2000,1986
2023-11-01,11,2023,sreemangal,nature,2000,2290
2023-12-01,12,2023,sreemangal,nature,2000,2393
2024-01-01,1,2024,sreemangal,nature,2000,516
2024-02-01,2,2024,sreemangal,nature,2000,523
2024-03-01,3,2024,sreemangal,nature,2000,793
2024-04-01,4,2024,sreemangal,nature,2000,1332
2024-05-01,5,2024,sreemangal,nature,2000,1643
2024-06-01,6,2024,sreemangal,nature,2000,1227
2024-07-01,7,2024,sreemangal,nature,2000,915
2024-08-01,8,2024,sreemangal,nature,2000,993
2024-09-01,9,2024,sreemangal,nature,2000,1184
2024-10-01,10,2024,sreemangal,nature,2000,1566
2024-11-01,11,2024,sreemangal,nature,2000,1932
2024-12-01,12,2024,sreemangal,nature,2000,3095
2025-01-01,1,2025,sreemangal,nature,2000,688
2025-02-01,2,2025,sreemangal,nature,2000,397
2025-03-01,3,2025,sreemangal,nature,2000,740
2025-04-01,4,2025,sreemangal,nature,2000,1194
2025-05-01,5,2025,sreemangal,nature,2000,1478
2025-06-01,6,2025,sreemangal,nature,2000,1104
2025-07-01,7,2025,sreemangal,nature,2000,1055
2025-08-01,8,2025,sreemangal,nature,2000,885
2025-09-01,9,2025,sreemangal,nature,2000,898
2025-10-01,10,2025,sreemangal,nature,2000,1448
2025-11-01,11,2025,sreemangal,nature,2000,1640
2025-12-01,12,2025,sreemangal,nature,2000,2374
2022-01-01,1,2022,srimangal,nature,2000,619
2022-02-01,2,2022,srimangal,nature,2000,582
2022-03-01,3,2022,srimangal,nature,2000,843
2022-04-01,4,2022,srimangal,nature,2000,1366
2022-05-01,5,2022,srimangal,nature,2000,1571
2022-06-01,6,2022,srimangal,nature,2000,1551
2022-07-01,7,2022,srimangal,nature,2000,939
2022-08-01,8,2022,srimangal,nature,2000,764
2022-09-01,9,2022,srimangal,nature,2000,993
2022-10-01,10,2022,srimangal,nature,2000,1688
2022-11-01,11,2022,srimangal,nature,2000,2469
2022-12-01,12,2022,srimangal,nature,2000,2267
2023-01-01,1,2023,srimangal,nature,2000,493
2023-02-01,2,2023,srimangal,nature,2000,573
2023-03-01,3,2023,srimangal,nature,2000,710
2023-04-01,4,2023,srimangal,nature,2000,1187
2023-05-01,5,2023,srimangal,nature,2000,1478
2023-06-01,6,2023,srimangal,nature,2000,1219
2023-07-01,7,2023,srimangal,nature,2000,849
2023-08-01,8,2023,srimangal,nature,2000,1074
2023-09-01,9,2023,srimangal,nature,2000,1028
2023-10-01,10,2023,srimangal,nature,2000,1658
2023-11-01,11,2023,srimangal,nature,2000,2380
2023-12-01,12,2023,srimangal,nature,2000,2193
2024-01-01,1,2024,srimangal,nature,2000,604
2024-02-01,2,2024,srimangal,nature,2000,519
2024-03-01,3,2024,srimangal,nature,2000,794
2024-04-01,4,2024,srimangal,nature,2000,1809
2024-05-01,5,2024,srimangal,nature,2000,1445
2024-06-01,6,2024,srimangal,nature,2000,1189
2024-07-01,7,2024,srimangal,nature,2000,1352
2024-08-01,8,2024,srimangal,nature,2000,807
2024-09-01,9,2024,srimangal,nature,2000,1274
2024-10-01,10,2024,srimangal,nature,2000,1665
2024-11-01,11,2024,srimangal,nature,2000,2375
2024-12-01,12,2024,srimangal,nature,2000,2566
2025-01-01,1,2025,srimangal,nature,2000,623
2025-02-01,2,2025,srimangal,nature,2000,471
2025-03-01,3,2025,srimangal,nature,2000,736
2025-04-01,4,2025,srimangal,nature,2000,1465
2025-05-01,5,2025,srimangal,nature,2000,1575
2025-06-01,6,2025,srimangal,nature,2000,1053
2025-07-01,7,2025,srimangal,nature,2000,933
2025-08-01,8,2025,srimangal,nature,2000,1066
2025-09-01,9,2025,srimangal,nature,2000,1271
2025-10-01,10,2025,srimangal,nature,2000,1513
2025-11-01,11,2025,srimangal,nature,2000,2094
2025-12-01,12,2025,srimangal,nature,2000,2785
2022-01-01,1,2022,sundarbans,nature,5000,621
2022-02-01,2,2022,sundarbans,nature,5000,529
2022-03-01,3,2022,sundarbans,nature,5000,807
2022-04-01,4,2022,sundarbans,nature,5000,1181
2022-05-01,5,2022,sundarbans,nature,5000,1519
2022-06-01,6,2022,sundarbans,nature,5000,1315
2022-07-01,7,2022,sundarbans,nature,5000,1075
2022-08-01,8,2022,sundarbans,nature,5000,951
2022-09-01,9,2022,sundarbans,nature,5000,1061
2022-10-01,10,2022,sundarbans,nature,5000,1413
2022-11-01,11,2022,sundarbans,nature,5000,2209
2022-12-01,12,2022,sundarbans,nature,5000,2804
2023-01-01,1,2023,sundarbans,nature,5000,638
2023-02-01,2,2023,sundarbans,nature,5000,573
2023-03-01,3,2023,sundarbans,nature,5000,670
2023-04-01,4,2023,sundarbans,nature,5000,1310
2023-05-01,5,2023,sundarbans,nature,5000,1562
2023-06-01,6,2023,sundarbans,nature,5000,1129
2023-07-01,7,2023,sundarbans,nature,5000,974
2023-08-01,8,2023,sundarbans,nature,5000,966
2023-09-01,9,2023,sundarbans,nature,5000,1122
2023-10-01,10,2023,sundarbans,nature,5000,1826
2023-11-01,11,2023,sundarbans,nature,5000,2607
2023-12-01,12,2023,sundarbans,nature,5000,2451
2024-01-01,1,2024,sundarbans,nature,5000,634
2024-02-01,2,2024,sundarbans,nature,5000,536
2024-03-01,3,2024,sundarbans,nature,5000,618
2024-04-01,4,2024,sundarbans,nature,5000,1189
2024-05-01,5,2024,sundarbans,nature,5000,1745
2024-06-01,6,2024,sundarbans,nature,5000,1138
2024-07-01,7,2024,sundarbans,nature,5000,1043
2024-08-01,8,2024,sundarbans,nature,5000,758
2024-09-01,9,2024,sundarbans,nature,5000,1087
2024-10-01,10,2024,sundarbans,nature,5000,1592
2024-11-01,11,2024,sundarbans,nature,5000,2148
2024-12-01,12,2024,sundarbans,nature,5000,2456
2025-01-01,1,2025,sundarbans,nature,5000,493
2025-02-01,2,2025,sundarbans,nature,5000,599
2025-03-01,3,2025,sundarbans,nature,5000,644
2025-04-01,4,2025,sundarbans,nature,5000,1302
2025-05-01,5,2025,sundarbans,nature,5000,1561
2025-06-01,6,2025,sundarbans,nature,5000,1358
2025-07-01,7,2025,sundarbans,nature,5000,1063
2025-08-01,8,2025,sundarbans,nature,5000,1010
2025-09-01,9,2025,sundarbans,nature,5000,1076
2025-10-01,10,2025,sundarbans,nature,5000,1645
2025-11-01,11,2025,sundarbans,nature,5000,1906
2025-12-01,12,2025,sundarbans,nature,5000,2268
