slug,stars,distance_center_km,month,season,room_type,baseline_daily_cost,price_bdt
chattogram,3,9.8,12,winter,standard,2500,8195
chattogram,4,9.3,1,autumn,standard,2500,9693
chattogram,5,7.5,6,monsoon,standard,2500,7598
chattogram,5,7.3,7,autumn,standard,2500,11062
chattogram,2,1.6,5,monsoon,suite,2500,9741
chattogram,5,6.3,10,winter,deluxe,2500,12239
chattogram,5,2.0,3,winter,deluxe,2500,12478
chattogram,2,0.9,12,summer,suite,2500,10231
chattogram,2,6.0,4,winter,suite,2500,15007
chattogram,3,5.7,4,summer,suite,2500,12312
chattogram,5,8.6,11,winter,suite,2500,21767
chattogram,2,1.9,1,summer,standard,2500,5932
chattogram,3,11.1,11,summer,standard,2500,8452
chattogram,2,4.1,2,winter,deluxe,2500,11782
chattogram,5,11.1,9,monsoon,suite,2500,15691
chattogram,5,7.4,2,monsoon,deluxe,2500,10410
chattogram,3,1.3,11,autumn,deluxe,2500,9771
chattogram,5,7.3,6,summer,standard,2500,9418
chattogram,5,11.9,11,winter,standard,2500,11469
chattogram,4,10.5,9,autumn,deluxe,2500,12513
chattogram,5,1.5,9,summer,deluxe,2500,10909
chattogram,2,2.1,3,winter,suite,2500,11733
chattogram,3,9.3,1,summer,suite,2500,16155
chattogram,2,3.7,8,winter,suite,2500,15275
chattogram,5,10.9,10,monsoon,standard,2500,9182
chattogram,4,11.5,3,monsoon,deluxe,2500,9679
chattogram,5,8.8,10,autumn,standard,2500,10064
chattogram,5,9.1,1,summer,standard,2500,10264
chattogram,2,2.6,11,monsoon,deluxe,2500,7120
chattogram,2,8.1,7,summer,standard,2500,7371
chattogram,4,1.2,10,monsoon,deluxe,2500,8438
chattogram,4,3.0,1,winter,standard,2500,12230
chattogram,3,5.1,2,winter,deluxe,2500,11229
chattogram,5,2.2,10,summer,suite,2500,17266
chattogram,3,3.1,7,autumn,deluxe,2500,10141
chattogram,2,7.1,11,summer,deluxe,2500,9124
chattogram,2,8.1,1,autumn,standard,2500,7206
chattogram,4,5.2,12,monsoon,standard,2500,7111
chattogram,3,7.5,12,summer,suite,2500,15219
chattogram,3,8.3,2,autumn,standard,2500,8590
chattogram,3,1.6,11,monsoon,suite,2500,10133
chattogram,2,10.0,10,autumn,deluxe,2500,11115
chattogram,5,8.1,7,monsoon,standard,2500,7615
chattogram,3,9.3,5,monsoon,deluxe,2500,8744
chattogram,5,9.3,10,summer,standard,2500,7707
chattogram,5,1.9,12,winter,suite,2500,18895
chattogram,2,0.8,6,monsoon,deluxe,2500,5583
chattogram,2,5.7,7,monsoon,deluxe,2500,6851
chattogram,4,4.9,8,autumn,suite,2500,16418
chattogram,2,11.0,8,winter,standard,2500,9169
chattogram,2,8.8,5,winter,standard,2500,8168
chattogram,4,7.1,6,summer,deluxe,2500,11318
chattogram,5,1.9,6,winter,standard,2500,10367
chattogram,5,1.4,12,winter,deluxe,2500,11665
chattogram,5,7.4,2,autumn,suite,2500,19642
chattogram,5,5.5,12,winter,standard,2500,10591
chattogram,4,7.5,12,winter,deluxe,2500,13770
chattogram,2,6.3,2,autumn,deluxe,2500,10805
chattogram,4,2.7,7,autumn,standard,2500,7487
chattogram,5,0.8,4,summer,suite,2500,16590
chattogram,5,7.3,3,summer,standard,2500,10435
chattogram,3,11.1,1,summer,standard,2500,9575
chattogram,3,3.4,7,monsoon,suite,2500,10916
chattogram,4,11.4,8,autumn,standard,2500,9937
chattogram,5,1.9,10,winter,standard,2500,10599
chattogram,3,4.9,9,summer,deluxe,2500,10354
chattogram,4,10.3,12,summer,deluxe,2500,13147
chattogram,2,5.1,8,winter,deluxe,2500,9412
chattogram,3,4.9,5,autumn,suite,2500,13914
chattogram,2,10.5,7,winter,deluxe,2500,12859
chattogram,2,2.4,6,winter,deluxe,2500,11354
chattogram,2,1.8,2,summer,standard,2500,6103
chattogram,2,7.2,11,summer,suite,2500,12901
chattogram,5,6.8,10,summer,suite,2500,17546
chattogram,4,6.3,9,summer,deluxe,2500,12501
chattogram,3,3.8,5,autumn,suite,2500,15617
chattogram,5,5.5,2,winter,suite,2500,19090
chattogram,3,0.8,8,summer,suite,2500,12536
chattogram,2,9.9,3,summer,deluxe,2500,9657
chattogram,3,10.8,10,winter,deluxe,2500,13665
chattogram,5,4.4,3,summer,standard,2500,8491
chattogram,5,0.7,7,summer,standard,2500,8571
chattogram,5,4.4,6,monsoon,standard,2500,6471
chattogram,4,0.7,3,monsoon,standard,2500,6607
coxs-bazar,2,3.4,9,winter,standard,2000,6715
coxs-bazar,2,9.8,9,monsoon,deluxe,2000,6723
coxs-bazar,3,3.2,6,autumn,suite,2000,10371
coxs-bazar,2,8.3,3,winter,standard,2000,7092
coxs-bazar,2,10.0,10,monsoon,deluxe,2000,6899
coxs-bazar,3,10.9,10,summer,standard,2000,7665
coxs-bazar,5,9.1,1,winter,suite,2000,19474
coxs-bazar,3,10.1,2,monsoon,suite,2000,10816
coxs-bazar,4,1.0,8,autumn,deluxe,2000,9308
coxs-bazar,3,3.2,11,monsoon,deluxe,2000,7645
coxs-bazar,5,4.2,6,winter,standard,2000,10006
coxs-bazar,4,4.1,4,autumn,suite,2000,13829
coxs-bazar,5,5.1,4,winter,deluxe,2000,12214
coxs-bazar,5,7.1,7,autumn,deluxe,2000,11205
coxs-bazar,3,4.2,2,winter,standard,2000,7481
coxs-bazar,4,5.9,10,summer,standard,2000,6378
coxs-bazar,4,0.9,11,winter,suite,2000,14570
coxs-bazar,4,4.4,3,winter,suite,2000,15790
coxs-bazar,4,4.0,3,summer,standard,2000,7352
coxs-bazar,2,4.8,11,summer,suite,2000,11001
coxs-bazar,5,8.9,5,winter,suite,2000,18896
coxs-bazar,3,2.2,7,winter,standard,2000,6645
coxs-bazar,4,1.3,7,monsoon,standard,2000,5212
coxs-bazar,4,9.1,11,autumn,standard,2000,8528
coxs-bazar,3,10.7,5,autumn,suite,2000,14774
coxs-bazar,4,11.5,9,winter,suite,2000,16646
coxs-bazar,3,4.9,3,summer,standard,2000,7431
coxs-bazar,5,2.0,5,summer,deluxe,2000,9829
coxs-bazar,3,5.2,12,autumn,deluxe,2000,8571
coxs-bazar,3,7.5,6,winter,standard,2000,8240
coxs-bazar,5,4.4,2,autumn,suite,2000,13274
coxs-bazar,3,1.2,9,monsoon,deluxe,2000,6614
coxs-bazar,3,2.8,4,monsoon,suite,2000,9070
coxs-bazar,2,9.8,11,monsoon,standard,2000,4834
coxs-bazar,5,5.4,12,monsoon,deluxe,2000,7910
coxs-bazar,2,11.3,7,autumn,standard,2000,7800
coxs-bazar,4,1.7,10,monsoon,deluxe,2000,6611
coxs-bazar,5,7.0,11,monsoon,suite,2000,10912
coxs-bazar,5,3.3,3,autumn,deluxe,2000,11455
coxs-bazar,3,9.3,6,winter,standard,2000,8712
coxs-bazar,4,4.2,12,summer,standard,2000,7059
coxs-bazar,2,0.5,12,summer,standard,2000,5053
coxs-bazar,2,2.0,4,summer,deluxe,2000,7095
coxs-bazar,4,9.8,8,autumn,deluxe,2000,11938
coxs-bazar,3,2.8,9,winter,deluxe,2000,9641
coxs-bazar,4,2.1,9,summer,deluxe,2000,11173
coxs-bazar,4,3.3,3,autumn,deluxe,2000,9456
coxs-bazar,4,4.9,2,winter,suite,2000,16574
coxs-bazar,2,10.6,4,summer,suite,2000,11187
coxs-bazar,4,6.3,3,monsoon,deluxe,2000,8176
coxs-bazar,3,9.1,11,winter,deluxe,2000,10675
coxs-bazar,3,1.4,11,monsoon,deluxe,2000,5718
coxs-bazar,4,5.1,8,autumn,suite,2000,13420
coxs-bazar,5,10.7,7,autumn,suite,2000,18154
coxs-bazar,3,7.7,4,monsoon,deluxe,2000,7640
coxs-bazar,2,2.8,2,autumn,suite,2000,10663
coxs-bazar,3,7.8,7,winter,standard,2000,7857
coxs-bazar,5,5.3,6,autumn,deluxe,2000,10882
coxs-bazar,3,0.9,12,autumn,standard,2000,6488
coxs-bazar,4,6.7,4,monsoon,deluxe,2000,7886
coxs-bazar,4,6.8,4,autumn,suite,2000,15182
coxs-bazar,5,9.4,7,monsoon,suite,2000,13342
coxs-bazar,5,6.5,12,monsoon,deluxe,2000,7615
coxs-bazar,3,11.6,11,autumn,deluxe,2000,10755
coxs-bazar,3,9.6,6,autumn,suite,2000,14987
coxs-bazar,5,8.3,5,summer,suite,2000,15207
coxs-bazar,5,7.5,6,winter,deluxe,2000,14492
coxs-bazar,3,1.5,10,summer,suite,2000,11702
coxs-bazar,3,8.3,12,autumn,standard,2000,7614
coxs-bazar,5,8.9,9,monsoon,deluxe,2000,10234
coxs-bazar,3,0.8,5,monsoon,suite,2000,9672
coxs-bazar,3,4.1,1,summer,deluxe,2000,8628
coxs-bazar,5,6.8,2,summer,suite,2000,13790
coxs-bazar,4,2.2,4,monsoon,standard,2000,5839
coxs-bazar,4,4.4,6,winter,standard,2000,8046
coxs-bazar,5,5.8,6,winter,suite,2000,18939
coxs-bazar,2,9.4,12,autumn,standard,2000,6774
coxs-bazar,4,4.6,11,autumn,deluxe,2000,9235
coxs-bazar,5,2.2,1,monsoon,suite,2000,11566
coxs-bazar,4,4.7,7,summer,standard,2000,6632
coxs-bazar,2,1.8,12,winter,suite,2000,11341
coxs-bazar,2,3.8,6,summer,standard,2000,5889
coxs-bazar,2,11.9,5,autumn,deluxe,2000,11157
coxs-bazar,2,11.8,6,summer,standard,2000,6165
coxs-bazar,2,10.7,1,autumn,deluxe,2000,8878
coxs-bazar,4,7.5,8,monsoon,deluxe,2000,9034
coxs-bazar,3,4.1,10,autumn,deluxe,2000,9558
coxs-bazar,2,2.4,2,summer,suite,2000,9455
coxs-bazar,4,9.4,9,autumn,suite,2000,17006
coxs-bazar,5,10.2,1,winter,standard,2000,10577
coxs-bazar,2,11.5,7,monsoon,standard,2000,5852
coxs-bazar,5,3.3,3,monsoon,suite,2000,11248
coxs-bazar,3,11.4,11,monsoon,suite,2000,10895
coxs-bazar,5,2.1,3,winter,deluxe,2000,10659
coxs-bazar,5,10.3,11,autumn,standard,2000,9322
coxs-bazar,3,6.6,12,monsoon,deluxe,2000,6749
coxs-bazar,5,0.7,4,monsoon,deluxe,2000,7323
coxs-bazar,4,10.4,2,autumn,standard,2000,8901
coxs-bazar,4,11.5,10,summer,standard,2000,8582
coxs-bazar,5,11.7,6,autumn,deluxe,2000,12629
coxs-bazar,4,6.1,4,winter,suite,2000,15944
coxs-bazar,5,10.3,8,monsoon,standard,2000,6471
coxs-bazar,3,4.4,10,monsoon,standard,2000,4675
coxs-bazar,5,9.1,11,monsoon,standard,2000,7405
coxs-bazar,3,1.3,10,autumn,suite,2000,11609
coxs-bazar,4,11.6,3,autumn,suite,2000,15689
coxs-bazar,5,6.1,2,winter,suite,2000,17006
coxs-bazar,5,10.9,1,winter,suite,2000,16768
coxs-bazar,4,9.6,9,summer,standard,2000,7773
coxs-bazar,4,8.4,1,winter,suite,2000,15590
coxs-bazar,4,10.8,2,summer,standard,2000,8773
coxs-bazar,2,4.9,4,autumn,deluxe,2000,8582
coxs-bazar,2,10.7,5,winter,standard,2000,7737
coxs-bazar,4,7.6,5,autumn,suite,2000,16094
coxs-bazar,5,9.2,1,autumn,suite,2000,17939
coxs-bazar,4,4.8,1,monsoon,suite,2000,10858
coxs-bazar,2,11.3,11,summer,suite,2000,11637
coxs-bazar,3,6.7,8,winter,suite,2000,14143
coxs-bazar,3,5.3,6,winter,standard,2000,7883
coxs-bazar,2,9.4,3,autumn,suite,2000,12469
coxs-bazar,2,9.0,1,summer,suite,2000,12041
coxs-bazar,3,5.0,6,summer,suite,2000,13599
coxs-bazar,3,4.6,3,autumn,deluxe,2000,10017
coxs-bazar,4,10.9,12,summer,standard,2000,9229
coxs-bazar,2,6.9,3,winter,suite,2000,13619
dhaka,2,6.1,12,autumn,suite,3000,15278
dhaka,5,5.3,7,monsoon,deluxe,3000,12463
dhaka,3,6.7,8,autumn,standard,3000,10659
dhaka,2,0.7,10,autumn,suite,3000,13250
dhaka,5,6.6,9,monsoon,standard,3000,9513
dhaka,4,7.8,2,monsoon,standard,3000,6893
dhaka,5,10.4,12,autumn,deluxe,3000,16652
dhaka,4,11.9,2,autumn,deluxe,3000,14641
dhaka,3,6.3,11,winter,deluxe,3000,15580
dhaka,5,1.8,12,summer,suite,3000,16158
dhaka,3,4.5,7,winter,suite,3000,17795
dhaka,5,6.4,11,autumn,deluxe,3000,15052
dhaka,2,5.7,9,monsoon,deluxe,3000,9528
dhaka,3,10.7,10,summer,suite,3000,19231
dhaka,5,11.7,11,summer,suite,3000,21387
dhaka,3,3.1,7,autumn,standard,3000,10163
dhaka,2,4.1,11,autumn,standard,3000,8534
dhaka,2,11.7,1,summer,standard,3000,9155
dhaka,2,1.5,12,winter,suite,3000,17539
dhaka,4,0.7,10,summer,suite,3000,15090
dhaka,5,8.2,11,summer,deluxe,3000,12987
dhaka,4,11.4,10,summer,suite,3000,17286
dhaka,3,5.2,10,autumn,standard,3000,10384
dhaka,2,0.5,6,winter,deluxe,3000,11717
dhaka,5,11.8,12,winter,suite,3000,24984
dhaka,2,6.2,8,autumn,suite,3000,20170
dhaka,3,2.5,6,winter,deluxe,3000,12404
dhaka,5,4.0,4,summer,suite,3000,16875
dhaka,4,3.2,8,monsoon,deluxe,3000,8865
dhaka,4,7.8,9,autumn,suite,3000,17388
dhaka,5,1.3,6,monsoon,suite,3000,14104
dhaka,3,9.7,1,winter,deluxe,3000,16335
dhaka,2,10.5,5,autumn,deluxe,3000,15220
dhaka,5,2.1,7,winter,deluxe,3000,14249
dhaka,4,10.8,9,summer,standard,3000,11783
dhaka,3,2.3,3,winter,suite,3000,16457
dhaka,4,7.2,12,monsoon,suite,3000,13595
dhaka,2,1.1,7,monsoon,deluxe,3000,7410
dhaka,3,4.7,9,autumn,deluxe,3000,12588
dhaka,3,10.0,5,monsoon,suite,3000,13506
dhaka,3,7.8,2,autumn,deluxe,3000,13205
dhaka,2,7.3,5,autumn,deluxe,3000,11235
dhaka,4,11.4,2,autumn,suite,3000,19982
dhaka,3,9.3,5,winter,deluxe,3000,14338
dhaka,3,11.7,7,monsoon,deluxe,3000,10687
dhaka,5,11.7,2,summer,deluxe,3000,14604
dhaka,2,7.7,3,monsoon,suite,3000,11765
dhaka,2,8.8,4,monsoon,deluxe,3000,9349
dhaka,3,10.6,9,summer,deluxe,3000,12659
dhaka,3,3.2,3,autumn,deluxe,3000,11991
dhaka,5,8.1,5,monsoon,suite,3000,15581
dhaka,4,2.4,12,monsoon,standard,3000,6129
dhaka,5,7.9,5,monsoon,standard,3000,8511
dhaka,5,0.8,8,monsoon,deluxe,3000,10317
dhaka,5,10.1,4,summer,standard,3000,11985
dhaka,4,10.0,12,autumn,standard,3000,11453
dhaka,5,7.8,12,winter,standard,3000,12031
dhaka,4,6.4,12,autumn,deluxe,3000,14831
dhaka,5,6.0,8,winter,deluxe,3000,16086
dhaka,4,5.2,10,winter,suite,3000,18786
dhaka,3,2.4,6,autumn,suite,3000,15999
dhaka,5,6.5,7,autumn,deluxe,3000,13985
dhaka,3,10.0,7,summer,deluxe,3000,11633
dhaka,3,5.4,1,monsoon,deluxe,3000,9351
dhaka,4,4.3,2,winter,standard,3000,10020
dhaka,4,7.8,1,summer,standard,3000,10379
dhaka,4,7.4,1,autumn,standard,3000,10191
dhaka,2,7.9,10,summer,standard,3000,8218
dhaka,5,6.9,12,autumn,standard,3000,10600
dhaka,4,1.4,1,autumn,standard,3000,9984
dhaka,4,1.9,5,winter,standard,3000,10699
dhaka,3,9.5,3,summer,suite,3000,18065
dhaka,2,5.4,7,monsoon,suite,3000,13161
dhaka,3,2.1,10,autumn,standard,3000,8582
dhaka,4,8.5,2,summer,suite,3000,17613
dhaka,3,9.1,10,autumn,deluxe,3000,13414
dhaka,4,9.3,11,monsoon,suite,3000,15842
dhaka,5,2.9,12,autumn,deluxe,3000,13940
dhaka,3,5.1,6,autumn,deluxe,3000,11901
dhaka,3,1.6,7,summer,standard,3000,9005
dhaka,4,11.6,3,winter,deluxe,3000,17710
dhaka,2,6.8,7,autumn,deluxe,3000,12830
dhaka,4,8.9,9,autumn,suite,3000,23817
dhaka,5,3.1,4,winter,suite,3000,22704
dhaka,3,12.0,10,autumn,standard,3000,11603
dhaka,4,7.7,6,winter,suite,3000,21577
dhaka,3,3.4,10,summer,suite,3000,16370
dhaka,2,1.5,2,winter,suite,3000,15004
dhaka,4,11.1,12,monsoon,standard,3000,8203
dhaka,4,7.2,7,summer,suite,3000,17621
dhaka,2,3.6,1,winter,deluxe,3000,10430
dhaka,3,0.7,4,monsoon,deluxe,3000,8028
dhaka,5,8.7,2,monsoon,suite,3000,17427
dhaka,3,2.9,10,monsoon,suite,3000,13502
dhaka,5,4.2,2,monsoon,deluxe,3000,9848
dhaka,3,8.1,9,summer,standard,3000,9827
dhaka,3,10.1,4,winter,suite,3000,21853
dhaka,3,10.8,2,autumn,suite,3000,22415
dhaka,4,1.6,1,winter,standard,3000,9765
dhaka,5,10.7,11,summer,deluxe,3000,14260
dhaka,2,8.0,9,winter,deluxe,3000,13780
dhaka,2,3.2,7,monsoon,deluxe,3000,7781
dhaka,5,7.6,1,monsoon,standard,3000,8454
dhaka,2,4.1,3,autumn,suite,3000,15354
dhaka,3,6.4,3,autumn,suite,3000,18664
dhaka,5,3.5,5,summer,suite,3000,18197
dhaka,3,7.0,3,autumn,suite,3000,17694
dhaka,3,9.6,9,autumn,deluxe,3000,13994
dhaka,4,9.6,6,monsoon,suite,3000,16621
dhaka,4,7.9,10,monsoon,suite,3000,14234
dhaka,3,4.6,12,winter,suite,3000,18551
dhaka,3,8.9,7,summer,deluxe,3000,13104
dhaka,3,10.3,10,summer,deluxe,3000,13563
dhaka,3,2.4,8,summer,suite,3000,15295
dhaka,3,3.7,11,autumn,suite,3000,17880
dhaka,2,6.7,1,summer,suite,3000,14697
dhaka,3,8.6,1,winter,deluxe,3000,14546
dhaka,3,1.4,6,autumn,deluxe,3000,9981
dhaka,5,3.7,9,winter,deluxe,3000,16509
dhaka,3,9.1,12,autumn,standard,3000,9120
dhaka,4,2.8,2,summer,standard,3000,8040
dhaka,4,3.0,4,summer,deluxe,3000,10902
dhaka,2,11.9,10,monsoon,deluxe,3000,9685
dhaka,5,2.0,5,autumn,deluxe,3000,14836
dhaka,4,11.9,1,summer,deluxe,3000,13920
kuakata,2,0.9,12,autumn,suite,1800,9090
kuakata,2,1.4,6,summer,deluxe,1800,5734
kuakata,4,7.8,2,autumn,standard,1800,7710
kuakata,2,5.1,9,summer,deluxe,1800,6721
kuakata,2,2.6,3,autumn,deluxe,1800,6269
kuakata,2,6.0,2,summer,deluxe,1800,6963
kuakata,5,9.4,9,winter,standard,1800,9059
kuakata,2,6.5,3,winter,suite,1800,11043
kuakata,5,5.0,5,summer,deluxe,1800,10072
kuakata,3,8.2,10,winter,suite,1800,13013
kuakata,4,9.0,5,summer,suite,1800,12045
kuakata,4,6.9,9,summer,standard,1800,7790
kuakata,3,2.0,12,monsoon,suite,1800,9547
